row_label_raw,row_label_full,col_0,Tại ngày31.12.2022VND,Phát sinh trong năm > Vay dài hạn đến hạn trả(*)VND,Phát sinh trong năm > TăngVND,Phát sinh trong năm > GiảmVND,Tại ngày01.01.2022VND,numeric__Tại ngày31.12.2022VND,numeric__Phát sinh trong năm > Vay dài hạn đến hạn trả(*)VND,numeric__Phát sinh trong năm > TăngVND,numeric__Phát sinh trong năm > GiảmVND,numeric__Tại ngày01.01.2022VND
Bên liên quan,Bên liên quan,Bên liên quan,55.036.895.603,-,70.300.000.000,56.595.000.000,41.331.895.603,55036895603.0,,70300000000.0,56595000000.0,41331895603.0
Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,55.036.895.603,-,70.300.000.000,51.995.000.000,36.731.895.603,55036895603.0,,70300000000.0,51995000000.0,36731895603.0
Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,-,-,-,2.000.000.000,2.000.000.000,,,,2000000000.0,2000000000.0
Công ty Cổ phần BOT Hưng Phát,Công ty Cổ phần BOT Hưng Phát,Công ty Cổ phần BOT Hưng Phát,-,-,-,2.600.000.000,2.600.000.000,,,,2600000000.0,2600000000.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,817.566.809.219,644.409.000.000,380.895.858.795,402.265.813.291,194.527.763.715,817566809219.0,644409000000.0,380895858795.0,402265813291.0,194527763715.0
Ngân hàng Vietinbank - CN Đà Nẵng,Ngân hàng Vietinbank - CN Đà Nẵng,Ngân hàng Vietinbank - CN Đà Nẵng,112.320.401.051,-,239.282.679.503,266.087.973.553,139.125.695.101,112320401051.0,,239282679503.0,266087973553.0,139125695101.0
Ngân hàng TP Bank - CN ThăngLong Hà Nội,Ngân hàng TP Bank - CN ThăngLong Hà Nội,Ngân hàng TP Bank - CN ThăngLong Hà Nội,57.996.522.671,-,141.613.179.292,135.957.950.133,52.341.293.512,57996522671.0,,141613179292.0,135957950133.0,52341293512.0
Ngân hàng Vietinbank - CN Hà Nội,Ngân hàng Vietinbank - CN Hà Nội,Ngân hàng Vietinbank - CN Hà Nội,622.990.000.000,622.990.000.000,-,-,-,622990000000.0,622990000000.0,,,
Ngân hàng VietABank - CN Hà Nội,Ngân hàng VietABank - CN Hà Nội,Ngân hàng VietABank - CN Hà Nội,21.419.000.000,21.419.000.000,-,-,-,21419000000.0,21419000000.0,,,
"Cán bộ, công nhân viên","Cán bộ, công nhân viên","Cán bộ, công nhân viên",2.840.885.497,-,-,219.889.605,3.060.775.102,2840885497.0,,,219889605.0,3060775102.0
Cộng,Cộng,Cộng,872.603.704.822,644.409.000.000,451.195.858.795,458.860.813.291,235.859.659.318,872603704822.0,644409000000.0,451195858795.0,458860813291.0,235859659318.0
