row_label_raw,row_label_full,col_0,31.12.2022 > Giá trị VND,31.12.2022 > Số có khả năng trả nợ VND,01.01.2022 > Giá trị VND,01.01.2022 > Số có khả năng trả nợ VND,numeric__31.12.2022 > Giá trị VND,numeric__31.12.2022 > Số có khả năng trả nợ VND,numeric__01.01.2022 > Giá trị VND,numeric__01.01.2022 > Số có khả năng trả nợ VND
Bên liên quan,Bên liên quan,Bên liên quan,522.959.804.523,522.959.804.523,438.357.412.901,438.357.412.901,522959804523.0,522959804523.0,438357412901.0,438357412901.0
Công ty Cổ phần Tập đoàn Đẻo Cả,Công ty Cổ phần Tập đoàn Đẻo Cả,Công ty Cổ phần Tập đoàn Đẻo Cả,458.584.484.413,458.584.484.413,392.737.560.387,392.737.560.387,458584484413.0,458584484413.0,392737560387.0,392737560387.0
Công ty Cổ phần Xây dựng Đẻo Cả,Công ty Cổ phần Xây dựng Đẻo Cả,Công ty Cổ phần Xây dựng Đẻo Cả,33.484.538.831,33.484.538.831,-,-,33484538831.0,33484538831.0,,
Công ty Cổ phần An Ninh Đẻo Cả,Công ty Cổ phần An Ninh Đẻo Cả,Công ty Cổ phần An Ninh Đẻo Cả,17.375.835.146,17.375.835.146,17.409.382.266,17.409.382.266,17375835146.0,17375835146.0,17409382266.0,17409382266.0
Công ty Cổ phần Đầu tư và XD ICV Việt Nam,Công ty Cổ phần Đầu tư và XD ICV Việt Nam,Công ty Cổ phần Đầu tư và XD ICV Việt Nam,9.660.979.849,9.660.979.849,-,-,9660979849.0,9660979849.0,,
Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đẻo Cả,Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đẻo Cả,Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đẻo Cả,3.853.966.284,3.853.966.284,8.256.472.379,8.256.472.379,3853966284.0,3853966284.0,8256472379.0,8256472379.0
Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,-,-,1.796.396.412,1.796.396.412,,,1796396412.0,1796396412.0
Công ty Cổ phần Tư vấn Xây dựng A2Z,Công ty Cổ phần Tư vấn Xây dựng A2Z,Công ty Cổ phần Tư vấn Xây dựng A2Z,-,-,18.157.601.457,18.157.601.457,,,18157601457.0,18157601457.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,571.940.847.291,571.940.847.291,691.075.166.887,691.075.166.887,571940847291.0,571940847291.0,691075166887.0,691075166887.0
Công ty Cổ phần Lizen (LICOGI 16),Công ty Cổ phần Lizen (LICOGI 16),Công ty Cổ phần Lizen (LICOGI 16),125.620.568.337,125.620.568.337,126.120.568.337,126.120.568.337,125620568337.0,125620568337.0,126120568337.0,126120568337.0
Công ty TNHH Hòa Hiệp,Công ty TNHH Hòa Hiệp,Công ty TNHH Hòa Hiệp,56.746.314.256,56.746.314.256,56.746.314.256,56.746.314.256,56746314256.0,56746314256.0,56746314256.0,56746314256.0
Công ty TNHH Xây dựng Mỹ Đà,Công ty TNHH Xây dựng Mỹ Đà,Công ty TNHH Xây dựng Mỹ Đà,35.356.917.682,35.356.917.682,75.356.917.682,75.356.917.682,35356917682.0,35356917682.0,75356917682.0,75356917682.0
Công ty TNHH MTV Xây dựng 470,Công ty TNHH MTV Xây dựng 470,Công ty TNHH MTV Xây dựng 470,31.136.567.611,31.136.567.611,34.549.076.453,34.549.076.453,31136567611.0,31136567611.0,34549076453.0,34549076453.0
Công ty TNHH Xây dựng Tổng hợp Đông Hới,Công ty TNHH Xây dựng Tổng hợp Đông Hới,Công ty TNHH Xây dựng Tổng hợp Đông Hới,21.533.539.459,21.533.539.459,24.033.539.459,24.033.539.459,21533539459.0,21533539459.0,24033539459.0,24033539459.0
Công ty Cổ phần Tư vấn Xây dựng A2Z,Công ty Cổ phần Tư vấn Xây dựng A2Z,Công ty Cổ phần Tư vấn Xây dựng A2Z,18.670.006.259,18.670.006.259,-,-,18670006259.0,18670006259.0,,
Công ty Cổ phần Tập đoàn Trí Nam,Công ty Cổ phần Tập đoàn Trí Nam,Công ty Cổ phần Tập đoàn Trí Nam,17.814.637.800,17.814.637.800,122.491.454.000,122.491.454.000,17814637800.0,17814637800.0,122491454000.0,122491454000.0
Công ty TNHH MTV Minh Đăng,Công ty TNHH MTV Minh Đăng,Công ty TNHH MTV Minh Đăng,14.745.229.714,14.745.229.714,17.966.582.114,17.966.582.114,14745229714.0,14745229714.0,17966582114.0,17966582114.0
Công ty Cổ phần Giao thông Xây dựng Số 1,Công ty Cổ phần Giao thông Xây dựng Số 1,Công ty Cổ phần Giao thông Xây dựng Số 1,13.356.138.053,13.356.138.053,13.356.138.053,13.356.138.053,13356138053.0,13356138053.0,13356138053.0,13356138053.0
Công ty Cổ phần Nam Tân,Công ty Cổ phần Nam Tân,Công ty Cổ phần Nam Tân,13.243.783.828,13.243.783.828,13.243.783.828,13.243.783.828,13243783828.0,13243783828.0,13243783828.0,13243783828.0
Tổng công ty Xây dựng Lũng Lô,Tổng công ty Xây dựng Lũng Lô,Tổng công ty Xây dựng Lũng Lô,12.000.378.308,12.000.378.308,12.000.378.308,12.000.378.308,12000378308.0,12000378308.0,12000378308.0,12000378308.0
Công ty TNHH Tổng hợp Minh Lai,Công ty TNHH Tổng hợp Minh Lai,Công ty TNHH Tổng hợp Minh Lai,8.734.085.571,8.734.085.571,-,-,8734085571.0,8734085571.0,,
Công ty Cổ Phần Đầu tư Sài Gòn ASPHALT(tên cũ: Công ty TNHH MTV Đầu tư Sài Gòn),Công ty Cổ Phần Đầu tư Sài Gòn ASPHALT(tên cũ: Công ty TNHH MTV Đầu tư Sài Gòn),Công ty Cổ Phần Đầu tư Sài Gòn ASPHALT(tên cũ: Công ty TNHH MTV Đầu tư Sài Gòn),7.351.840.089,7.351.840.089,2.552.438.731,2.552.438.731,7351840089.0,7351840089.0,2552438731.0,2552438731.0
Công ty Cổ phần Xây dựng Đẻo Cả,Công ty Cổ phần Xây dựng Đẻo Cả,Công ty Cổ phần Xây dựng Đẻo Cả,-,-,24.473.155.816,24.473.155.816,,,24473155816.0,24473155816.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,195.630.840.324,195.630.840.324,168.184.819.850,168.184.819.850,195630840324.0,195630840324.0,168184819850.0,168184819850.0
Cộng,Cộng,Cộng,1.094.900.651.814,1.094.900.651.814,1.129.432.579.788,1.129.432.579.788,1094900651814.0,1094900651814.0,1129432579788.0,1129432579788.0
