row_label_raw,row_label_full,col_0,col_1,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,,2022VND,2021VND,,,
Thủ lao Hội đồng quản trị và Ban kiểm soát,Thủ lao Hội đồng quản trị và Ban kiểm soát,Thủ lao Hội đồng quản trị và Ban kiểm soát,Thủ lao Hội đồng quản trị và Ban kiểm soát,2.087.000.000,777.835.000,,2087000000.0,777835000.0
Hồ Minh Hoàng,Hồ Minh Hoàng,Hồ Minh Hoàng,Chủ tịch HĐQT,360.000.000,120.000.000,,360000000.0,120000000.0
Nguyễn Tần Đông,Nguyễn Tần Đông,Nguyễn Tần Đông,Phó Chủ tịch HĐQT,240.000.000,96.000.000,,240000000.0,96000000.0
Trần Văn Thế,Trần Văn Thế,Trần Văn Thế,Phó Chủ tịch HĐQT,76.000.000,96.000.000,,76000000.0,96000000.0
Nguyễn Hữu Hùng,Nguyễn Hữu Hùng,Nguyễn Hữu Hùng,Phó Chủ tịch HĐQT,163.000.000,,,163000000.0,
Võ Thụy Linh,Võ Thụy Linh,Võ Thụy Linh,Thành viên HĐQT,180.000.000,60.000.000,,180000000.0,60000000.0
Trần Chủng,Trần Chủng,Trần Chủng,Thành viên HĐQT,180.000.000,60.000.000,,180000000.0,60000000.0
Nguyễn Quang Huy,Nguyễn Quang Huy,Nguyễn Quang Huy,Thành viên HĐQT,180.000.000,10.000.000,,180000000.0,10000000.0
Nguyễn Thanh Trang,Nguyễn Thanh Trang,Nguyễn Thanh Trang,Thành viên HĐQT đến ngày 01/11/2021,-,50.000.000,,,50000000.0
Hà Huy Hùng,Hà Huy Hùng,Hà Huy Hùng,Thành viên độc lập HĐQT,57.000.000,10.000.000,,57000000.0,10000000.0
Hồ Quang Lợi,Hồ Quang Lợi,Hồ Quang Lợi,Thành viên độc lập HĐQT,123.000.000,,,123000000.0,
Hoàng Văn Hải,Hoàng Văn Hải,Hoàng Văn Hải,Thành viên độc lập HĐQT,180.000.000,60.000.000,,180000000.0,60000000.0
Nguyễn Minh Giang,Nguyễn Minh Giang,Nguyễn Minh Giang,Trường Ban kiểm soát,180.000.000,96.000.000,,180000000.0,96000000.0
Cam Thị Minh Hải,Cam Thị Minh Hải,Cam Thị Minh Hải,Thành viên Ban kiểm soát,84.000.000,60.000.000,,84000000.0,60000000.0
Đỗ Thế Vinh,Đỗ Thế Vinh,Đỗ Thế Vinh,Thành viên Ban kiểm soát đến ngày 26/4/2021,-,19.068.000,,,19068000.0
Phan Thị Mai,Phan Thị Mai,Phan Thị Mai,Thành viên Ban kiểm soát,84.000.000,40.767.000,,84000000.0,40767000.0
