row_label_raw,row_label_full,Tên Công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Lợi nhuận sau thuế,numeric__Lợi nhuận chưa phân phối
Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,"68,34%","68,34%",49.542.687.126,52.614.027.178,0.6834,0.6834,49542687126.0,52614027178.0
Công ty Cổ phần Đầu tư Đèo Cả,Công ty Cổ phần Đầu tư Đèo Cả,Công ty Cổ phần Đầu tư Đèo Cả,"72,09%","72,09%",41.805.597.875,(341.143.438.990),0.7209,0.7209,41805597875.0,-341143438990.0
Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty Cổ phần Phước Tượng Phú Gia BOT,"99,47%","99,47%",27.873.878.633,38.226.466.256,0.9947,0.9947,27873878633.0,38226466256.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,,,,,,
Tên Công ty,Tên Công ty,Tên Công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,,,,
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Tên Công ty > Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,"21,95%","21,95%",16.786.868,13.426.004.152,0.2195,0.2195,16786868.0,13426004152.0
Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Tên Công ty > Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,"47,21%","50,00%",100.492.106.857,275.175.904.725,0.4721,0.5,100492106857.0,275175904725.0
Công ty Cổ phần BOT Bắc Giang - Lạng Sơn - Hữu Nghị,Tên Công ty > Công ty Cổ phần BOT Bắc Giang - Lạng Sơn - Hữu Nghị,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn - Hữu Nghị,"31,60%","31,60%",(1.479.897.068),3.535.483.061,0.316,0.316,-1479897068.0,3535483061.0
