row_label_raw,row_label_full,Trên 1 năm đến 5 năm,Tại ngày31.12.2022VND > 127.320.118.994,Phát sinh trong năm > TăngVND > 26.730.660.276,Phát sinh trong năm > GiảmVND > 117.719.491.282,Phát sinh trong năm > Vay dài hạn đến hạn trảVND > -,Tại ngày01.01.2022VND > 218.308.950.000,numeric__Tại ngày31.12.2022VND > 127.320.118.994,numeric__Phát sinh trong năm > TăngVND > 26.730.660.276,numeric__Phát sinh trong năm > GiảmVND > 117.719.491.282,numeric__Phát sinh trong năm > Vay dài hạn đến hạn trảVND > -,numeric__Tại ngày01.01.2022VND > 218.308.950.000
Bên liên quan,Bên liên quan,Bên liên quan,58.111.400.000,-,67.288.600.000,-,125.400.000.000,58111400000.0,,67288600000.0,,125400000000.0
Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,58.111.400.000,-,67.288.600.000,-,125.400.000.000,58111400000.0,,67288600000.0,,125400000000.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,69.208.718.994,26.730.660.276,50.430.891.282,-,92.908.950.000,69208718994.0,26730660276.0,50430891282.0,,92908950000.0
Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,44.000.000.000,-,48.000.000.000,-,92.000.000.000,44000000000.0,,48000000000.0,,92000000000.0
Ngân hàng TP Bank,Ngân hàng TP Bank,Ngân hàng TP Bank,25.208.718.994,26.730.660.276,2.430.891.282,-,908.950.000,25208718994.0,26730660276.0,2430891282.0,,908950000.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,19.652.778.955.110,21.314.561.976,377.620.000.000,644.409.000.000,20.653.493.393.134,19652778955110.0,21314561976.0,377620000000.0,644409000000.0,20653493393134.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,19.652.778.955.110,21.314.561.976,377.620.000.000,644.409.000.000,20.653.493.393.134,19652778955110.0,21314561976.0,377620000000.0,644409000000.0,20653493393134.0
Ngân hàng Vietinbank - Chi nhánh Hà Nội,Ngân hàng Vietinbank - Chi nhánh Hà Nội,Ngân hàng Vietinbank - Chi nhánh Hà Nội,18.712.602.822.777,-,357.460.000.000,622.990.000.000,19.693.052.822.777,18712602822777.0,,357460000000.0,622990000000.0,19693052822777.0
Ngân hàng VietABank - Chi nhánh Hà Nội,Ngân hàng VietABank - Chi nhánh Hà Nội,Ngân hàng VietABank - Chi nhánh Hà Nội,940.176.132.333,21.314.561.976,20.160.000.000,21.419.000.000,960.440.570.357,940176132333.0,21314561976.0,20160000000.0,21419000000.0,960440570357.0
Cộng,Cộng,Cộng,19.780.099.074.104,48.045.222.252,495.339.491.282,644.409.000.000,20.871.802.343.134,19780099074104.0,48045222252.0,495339491282.0,644409000000.0,20871802343134.0
