row_label_raw,row_label_full,Số đầu năm > Khấu hao trong năm,(675.782.772) > (1.484.796.720),numeric__(675.782.772) > (1.484.796.720)
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,18.601.923,18601923.0
Thanh lý,Thanh lý,Thanh lý,388.552.999,388552999.0
Số cuối năm,Số cuối năm,Số cuối năm,(1.753.424.570),-1753424570.0
