row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 775.593.906.097 > 1.375.170.994.324,VNDNăm trước > 679.412.837.390 > 977.368.914.873,numeric__Năm nay > 775.593.906.097 > 1.375.170.994.324,numeric__VNDNăm trước > 679.412.837.390 > 977.368.914.873
Phát hành trái phiếu,Phát hành trái phiếu,Phát hành trái phiếu,30.000.000.000,120.000.000.000,30000000000.0,120000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,198.881.118,(198.881.118),198881118.0,-198881118.0
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,-,1.136.230.000,,1136230000.0
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(917.600.000),(285.934.428),-917600000.0,-285934428.0
Trả nợ gốc vay và trái phiếu,Trả nợ gốc vay và trái phiếu,Trả nợ gốc vay và trái phiếu,(1.049.053.168.402),(1.001.839.260.620),-1049053168402.0,-1001839260620.0
Số cuối năm,Số cuối năm,Số cuối năm,1.130.993.013.137,775.593.906.097,1130993013137.0,775593906097.0
