row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,13.972.255.266,17.333.294.281,681.999.000,31.987.548.547,13972255266.0,17333294281.0,681999000.0,31987548547.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,19.147.622.806,1.361.875.000,55.000.000,20.564.497.806,19147622806.0,1361875000.0,55000000.0,20564497806.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,-,200.000.000,-,200.000.000,,200000000.0,,200000000.0
Kết chuyển từ xây dựng cơ bảnđở dang,Nguyên giá: > Kết chuyển từ xây dựng cơ bảnđở dang,Kết chuyển từ xây dựng cơ bảnđở dang,-,24.792.658.444,-,24.792.658.444,,24792658444.0,,24792658444.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,(300.000.000),(300.000.000),,,-300000000.0,-300000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,33.119.878.072,43.687.827.725,436.999.000,77.244.704.797,33119878072.0,43687827725.0,436999000.0,77244704797.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,1.273.407.200,-,1.273.407.200,,1273407200.0,,1273407200.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(5.812.602.222),(115.247.315),(5.927.849.537),,-5812602222.0,-115247315.0,-5927849537.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(5.237.066.884),(48.678.685),(5.285.745.569),,-5237066884.0,-48678685.0,-5285745569.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,-,(129.166.664),-,(129.166.664),,-129166664.0,,-129166664.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(11.178.835.770),(163.926.000),(11.342.761.770),,-11178835770.0,-163926000.0,-11342761770.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,13.972.255.266,11.520.692.059,566.751.685,26.059.699.010,13972255266.0,11520692059.0,566751685.0,26059699010.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,33.119.878.072,32.508.991.955,273.073.000,65.901.943.027,33119878072.0,32508991955.0,273073000.0,65901943027.0
