row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết (%),Tỷ lệ biểu quyết (%)_1,numeric__Tên công ty con_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ biểu quyết (%)_1
Tên công ty con,Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2020,,,,,
Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo),,,,,
(23),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (23),(23),"Công ty Cổ phần Bất Động Sản Bắc Bộ (""BĐS Bắc Bộ"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(24),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (24),(24),"Công ty Cổ phần Đất Xanh Premium (""Đất Xanh Premium"")",Kinh doanh và môi giới BĐS,Đang hoạt động,59,59,,,,59.0,59.0
(25),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (25),(25),"Công ty Cổ phần Bất Động Sản Đất Xanh Plus (""Đất Xanh Plus"")",Kinh doanh và môi giới BĐS,Đang hoạt động,55,55,,,,55.0,55.0
(26),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (26),(26),"Công ty Cổ phần Bất động sản Linkgroup (""Linkgroup"")",Kinh doanh và môi giới BĐS,Đang hoạt động,"80,47","80,47",,,,80.47,80.47
(27),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (27),(27),"Công ty TNHH Phát triển Đô thị Quảng Bình (""Đất Xanh Quảng Bình"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(28),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (28),(28),"Công ty Cổ phần Phát triển nhà Đông Nam Bộ (""Nhà Đông Nam Bộ"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(29),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (29),(29),"Công ty Cổ phần Dịch vụ và Đầu tư Địa ốc Bình Thuận (""Địa ốc Bình Thuận"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(30),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (30),(30),"Công ty Cổ phần Địa ốc Indochine (""Indochine"")",Kinh doanh BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(31),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (31),(31),"Công ty Cổ phần Bất động sản Unihomes (""Unihomes"")",Kinh doanh và môi giới BĐS,Đang hoạt động,-,51,,,,,51.0
(32),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (32),(32),"Công ty Cổ phần Bất động sản Unihomes Nam Sài Gòn (""Unihomes NSG"")",Kinh doanh và môi giới BĐS,Đang hoạt động,-,"54,42",,,,,54.42
(33),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (33),(33),"Công ty Cổ phần Bất động sản Unihomes Miền Nam (""Unihomes Miền Nam"")",Kinh doanh và môi giới BĐS,Đang hoạt động,-,51,,,,,51.0
(34),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (34),(34),"Công ty Cổ phần Bất động sản Kết Nới (""BĐS Kết Nới"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(35),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (35),(35),"Công ty TNHH Đầu tư Linkland (""Linkland"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(36),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (36),(36),"Công ty Cổ phần Bất động sản Link House (""Linkhouse"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(37),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (37),(37),"Công ty Cổ phần Bất động sản Link House Tây Nam (""Linkhouse Tây Nam"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(38),Lĩnh vực kinh doanh và môi giới BĐS (tiếp theo) > (38),(38),"Công ty Cổ phần Bất động sản Link House Miền Trung (""Linkhouse Miền Trung"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
