row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết (%),Tỷ lệ biểu quyết (%)_1,numeric__Tên công ty con_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ biểu quyết (%)_1
Tên công ty con,Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2020,,,,,
Lĩnh vực kinh doanh và môi giới BĐS,Lĩnh vực kinh doanh và môi giới BĐS,Lĩnh vực kinh doanh và môi giới BĐS,Lĩnh vực kinh doanh và môi giới BĐS,Lĩnh vực kinh doanh và môi giới BĐS,Lĩnh vực kinh doanh và môi giới BĐS,Lĩnh vực kinh doanh và môi giới BĐS,Lĩnh vực kinh doanh và môi giới BĐS,,,,,
(1),Lĩnh vực kinh doanh và môi giới BĐS > (1),(1),"Công ty Cổ phần Đất Xanh Miền Trung (""Đất Xanh Miền Trung"")",Kinh doanh và môi giới BĐS,Đang hoạt động,55,55,,,,55.0,55.0
(2),Lĩnh vực kinh doanh và môi giới BĐS > (2),(2),"Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc (""Đất Xanh Miền Bắc"")",Kinh doanh và môi giới BĐS,Đang hoạt động,"63,5","63,5",,,,63.5,63.5
(3),Lĩnh vực kinh doanh và môi giới BĐS > (3),(3),"Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (""Đất Xanh Miền Nam"")",Kinh doanh và môi giới BĐS,Đang hoạt động,65,65,,,,65.0,65.0
(4),Lĩnh vực kinh doanh và môi giới BĐS > (4),(4),"Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Đông Nam Bộ (""Đất Xanh Đông Nam Bộ"")",Kinh doanh và môi giới BĐS,Đang hoạt động,70,70,,,,70.0,70.0
(5),Lĩnh vực kinh doanh và môi giới BĐS > (5),(5),"Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Miền Tây (""Đất Xanh Miền Tây"")",Kinh doanh và môi giới BĐS,Đang hoạt động,61,61,,,,61.0,61.0
(6),Lĩnh vực kinh doanh và môi giới BĐS > (6),(6),"Công ty Cổ phần Dịch vụ Nam Bộ Invest (""Nam Bộ Invest"")",Kinh doanh và môi giới BĐS,Đang hoạt động,63,63,,,,63.0,63.0
(7),Lĩnh vực kinh doanh và môi giới BĐS > (7),(7),"Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh Nam Trung Bộ (""Đất Xanh Nam Trung Bộ"")",Kinh doanh và môi giới BĐS,Đang hoạt động,71,71,,,,71.0,71.0
(8),Lĩnh vực kinh doanh và môi giới BĐS > (8),(8),"Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Đông (""Đất Xanh Miền Đông"")",Kinh doanh và môi giới BĐS,Đang hoạt động,61,61,,,,61.0,61.0
