row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,67.052.754.749,1.578.289.001,73.785.008.998,14.805.283.015,2.313.439.918,159.534.775.681,67052754749.0,1578289001.0,73785008998.0,14805283015.0,2313439918.0,159534775681.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,9.868.229.736,1.036.767.967,13.278.201.794,1.725.326.835,893.948.746,26.802.475.078,9868229736.0,1036767967.0,13278201794.0,1725326835.0,893948746.0,26802475078.0
Tăng do mua lại công ty con,Nguyên giá: > Tăng do mua lại công ty con,Tăng do mua lại công ty con,-,499.809.363,3.077.081.818,954.761.500,-,4.531.652.681,,499809363.0,3077081818.0,954761500.0,,4531652681.0
Kết chuyển từ xây dựng cơ bản dở dang,Nguyên giá: > Kết chuyển từ xây dựng cơ bản dở dang,Kết chuyển từ xây dựng cơ bản dở dang,-,-,2.720.667.401,-,-,2.720.667.401,,,2720667401.0,,,2720667401.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(1.410.041.824),(727.614.541),-,(2.137.656.365),,,-1410041824.0,-727614541.0,,-2137656365.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,(4.295.643.729),(216.197.192),(133.774.600),(4.645.615.521),,,-4295643729.0,-216197192.0,-133774600.0,-4645615521.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,76.920.984.485,3.114.866.331,87.155.274.458,16.541.559.617,3.073.614.064,186.806.298.955,76920984485.0,3114866331.0,87155274458.0,16541559617.0,3073614064.0,186806298955.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,63.818.182,7.707.026.487,1.184.569.039,36.051.872,8.991.465.580,,63818182.0,7707026487.0,1184569039.0,36051872.0,8991465580.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(2.916.278.668),(831.899.557),(31.130.702.664),(5.103.869.831),(915.470.975),(40.898.221.695),-2916278668.0,-831899557.0,-31130702664.0,-5103869831.0,-915470975.0,-40898221695.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(3.120.293.086),(662.317.406),(11.005.428.121),(3.405.893.516),(406.306.692),(18.600.238.821),-3120293086.0,-662317406.0,-11005428121.0,-3405893516.0,-406306692.0,-18600238821.0
Tăng do mua lại công ty con,Giá trị khấu hao lũy kế: > Tăng do mua lại công ty con,Tăng do mua lại công ty con,-,(208.550.972),(1.595.620.784),(338.534.915),-,(2.142.706.671),,-208550972.0,-1595620784.0,-338534915.0,,-2142706671.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,893.602.933,466.519.340,-,1.360.122.273,,,893602933.0,466519340.0,,1360122273.0
Giảm do thanh lý công ty con,Giá trị khấu hao lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,1.830.387.313,216.197.192,133.774.600,2.180.359.105,,,1830387313.0,216197192.0,133774600.0,2180359105.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(6.036.571.754),(1.702.767.935),(41.007.761.323),(8.165.581.730),(1.188.003.067),(58.100.685.809),-6036571754.0,-1702767935.0,-41007761323.0,-8165581730.0,-1188003067.0,-58100685809.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,64.136.476.081,746.389.444,42.654.306.334,9.701.413.184,1.397.968.943,118.636.553.986,64136476081.0,746389444.0,42654306334.0,9701413184.0,1397968943.0,118636553986.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,70.884.412.731,1.412.098.396,46.147.513.135,8.375.977.887,1.885.610.997,128.705.613.146,70884412731.0,1412098396.0,46147513135.0,8375977887.0,1885610997.0,128705613146.0
Trong đó: Thế chấp đề đảm bảo các khoản vay (Thuyết minh số 25.1 và 25.3),Giá trị còn lại: > Trong đó: Thế chấp đề đảm bảo các khoản vay (Thuyết minh số 25.1 và 25.3),Trong đó: Thế chấp đề đảm bảo các khoản vay (Thuyết minh số 25.1 và 25.3),-,-,15.078.066.912,-,-,15.078.066.912,,,15078066912.0,,,15078066912.0
