row_label_raw,row_label_full,col_0,VND,numeric__VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,209.808.178.363,209808178363.0
Tăng từ hợp nhất kinh doanh,Nguyên giá: > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,3.538.089.406,3538089406.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,213.346.267.769,213346267769.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,
Số đầu năm,Phân bổ lũy kế: > Số đầu năm,Số đầu năm,(10.952.701.534),-10952701534.0
Phân bổ trong năm,Phân bổ lũy kế: > Phân bổ trong năm,Phân bổ trong năm,(21.325.291.675),-21325291675.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,(32.277.993.209),-32277993209.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,198.855.476.829,198855476829.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,181.068.274.560,181068274560.0
