row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộchưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộchưa thực hiện,Lợi nhuận nội bộchưa thực hiện,24.085.126.399,26.344.789.859,(2.259.663.460),18.812.696.901,24085126399.0,26344789859.0,-2259663460.0,18812696901.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,5.245.519.184,2.155.076.644,3.090.442.538,(4.036.255.805),5245519184.0,2155076644.0,3090442538.0,-4036255805.0
Dự phòng cáckhoản phải thu,Tài sản thuế thu nhập hoãn lại > Dự phòng cáckhoản phải thu,Dự phòng cáckhoản phải thu,109.508.299,282.072.001,(172.563.702),-,109508299.0,282072001.0,-172563702.0,
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,7.582.735,7.582.735,-,(3.646.566.880),7582735.0,7582735.0,,-3646566880.0
,,,29.447.736.617,28.789.521.239,,,29447736617.0,28789521239.0,,
Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,,,,
Dự phòng cáckhoản đầu tư,Thuế thu nhập hoãn lại > Dự phòng cáckhoản đầu tư,Dự phòng cáckhoản đầu tư,(67.982.944.570),(3.272.915.343),(64.710.029.227),(3.272.915.343),-67982944570.0,-3272915343.0,-64710029227.0,-3272915343.0
Khác,Thuế thu nhập hoãn lại > Khác,Khác,(5.494.866.207),(2.853.836.086),(2.641.030.121),(2.853.836.086),-5494866207.0,-2853836086.0,-2641030121.0,-2853836086.0
,,,(73.477.810.777),(6.126.751.429),,,-73477810777.0,-6126751429.0,,
Thu nhập/(chi phí) thuế TNDN hoãn lại thuần tínhvào báo cáo kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại > Thu nhập/(chi phí) thuế TNDN hoãn lại thuần tínhvào báo cáo kết quả kinh doanh hợp nhất,Thu nhập/(chi phí) thuế TNDN hoãn lại thuần tínhvào báo cáo kết quả kinh doanh hợp nhất,Thu nhập/(chi phí) thuế TNDN hoãn lại thuần tínhvào báo cáo kết quả kinh doanh hợp nhất,Thu nhập/(chi phí) thuế TNDN hoãn lại thuần tínhvào báo cáo kết quả kinh doanh hợp nhất,(66.692.843.972),5.003.122.787,,,-66692843972.0,5003122787.0
