row_label_raw,row_label_full,col_0,Giá trị giao dịch cho,Giá trị giao dịch cho_1,numeric__Giá trị giao dịch cho,numeric__Giá trị giao dịch cho_1
,,,2018VND,2017VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,,
Thanh toán gốc vay bằng cách cán trừ với khoản phải thu khách hàng,Tập đoàn Điện lực Việt Nam > Thanh toán gốc vay bằng cách cán trừ với khoản phải thu khách hàng,Thanh toán gốc vay bằng cách cán trừ với khoản phải thu khách hàng,1.711.597.576.778,-,1711597576778.0,
Thanh toán chi phí lãi vay bằng cách cán trừ với khoản phải thu khách hàng,Tập đoàn Điện lực Việt Nam > Thanh toán chi phí lãi vay bằng cách cán trừ với khoản phải thu khách hàng,Thanh toán chi phí lãi vay bằng cách cán trừ với khoản phải thu khách hàng,468.776.857.634,-,468776857634.0,
Chi phí lãi vay và phí vay lại của các khoản vay,Tập đoàn Điện lực Việt Nam > Chi phí lãi vay và phí vay lại của các khoản vay,Chi phí lãi vay và phí vay lại của các khoản vay,442.220.411.162,528.958.606.605,442220411162.0,528958606605.0
Phí bảo lãnh khoản vay dài hạn,Tập đoàn Điện lực Việt Nam > Phí bảo lãnh khoản vay dài hạn,Phí bảo lãnh khoản vay dài hạn,26.556.446.472,33.497.323.185,26556446472.0,33497323185.0
Mua điện,Tập đoàn Điện lực Việt Nam > Mua điện,Mua điện,21.846.934.066,31.739.917.948,21846934066.0,31739917948.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên,,
Cổ tức đã trả,Tổng Công ty Phát điện 2 – Công ty TNHH Một Thành Viên > Cổ tức đã trả,Cổ tức đã trả,89.250.000.000,204.000.000.000,89250000000.0,204000000000.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại,,
Cổ tức đã trả,Công ty Cổ phần Nhiệt điện Phả Lại > Cổ tức đã trả,Cổ tức đã trả,45.447.500.000,103.880.000.000,45447500000.0,103880000000.0
Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam,,
Bán điện,Công ty Mua bán điện – Tập đoàn Điện lực Việt Nam > Bán điện,Bán điện,9.518.449.008.449,9.085.271.929.587,9518449008449.0,9085271929587.0
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,,
Mua dịch vụ,Công ty Cổ phần Thủy điện A Vương > Mua dịch vụ,Mua dịch vụ,-,358.027.109,,358027109.0
Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,,
Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,,
Tiền lương và thường,Thành viên Ban Giám đốc > Tiền lương và thường,Tiền lương và thường,1.860.610.500,2.066.444.000,1860610500.0,2066444000.0
Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,,
Tiền lương và thường,Thành viên Hội đồng quản trị > Tiền lương và thường,Tiền lương và thường,960.041.867,1.349.155.000,960041867.0,1349155000.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,
Tiền lương và thường,Thành viên Ban Kiểm soát > Tiền lương và thường,Tiền lương và thường,551.150.000,689.373.000,551150000.0,689373000.0
