row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.342.232.540.570,10.940.051.932.746,219.415.759.676,554.808.377.115,1.057.750.248,22.057.566.360.355,10342232540570.0,10940051932746.0,219415759676.0,554808377115.0,1057750248.0,22057566360355.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.706.957.085,-,-,,-,1.706.957.085,1706957085.0,,,,,1706957085.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(800.000.000),-,(800.000.000),,,,-800000000.0,,-800000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.343.939.497.655,10.940.051.932.746,219.415.759.676,554.008.377.115,1.057.750.248,22.058.473.317.440,10343939497655.0,10940051932746.0,219415759676.0,554008377115.0,1057750248.0,22058473317440.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.133.686.951.800,5.309.208.353.353,151.695.282.936,278.079.373.598,472.905.067,9.873.142.866.754,4133686951800.0,5309208353353.0,151695282936.0,278079373598.0,472905067.0,9873142866754.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,730.228.428.970,1.061.810.652.852,22.931.264.538,43.583.965.637,149.322.168,1.858.703.634.165,730228428970.0,1061810652852.0,22931264538.0,43583965637.0,149322168.0,1858703634165.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,(413.191.259),-,(413.191.259),,,,-413191259.0,,-413191259.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.863.915.380.770,6.371.019.006.205,174.626.547.474,321.250.147.976,622.227.235,11.731.433.309.660,4863915380770.0,6371019006205.0,174626547474.0,321250147976.0,622227235.0,11731433309660.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.208.545.588.770,5.630.843.579.393,67.720.476.740,276.729.003.517,584.845.181,12.184.423.493.601,6208545588770.0,5630843579393.0,67720476740.0,276729003517.0,584845181.0,12184423493601.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,5.480.024.116.885,4.569.032.926.541,44.789.212.202,232.758.229.139,435.523.013,10.327.040.007.780,5480024116885.0,4569032926541.0,44789212202.0,232758229139.0,435523013.0,10327040007780.0
