row_label_raw,row_label_full,col_0,Vay ngắn hạn (i) VND,Vay dài hạn đến hạn trả VND,Tổng VND,numeric__Vay ngắn hạn (i) VND,numeric__Vay dài hạn đến hạn trả VND,numeric__Tổng VND
Giá trị ghi sổ và số có khả năng trả nợ tại ngày 1/1/2018,Giá trị ghi sổ và số có khả năng trả nợ tại ngày 1/1/2018,Giá trị ghi sổ và số có khả năng trả nợ tại ngày 1/1/2018,65.000.000.000,1.837.997.576.778,1.902.997.576.778,65000000000.0,1837997576778.0,1902997576778.0
Biến động trong năm:,Biến động trong năm:,Biến động trong năm:,,,,,,
Tăng:,Tăng:,Tăng:,,,,,,
Giải ngân mới,Tăng: > Giải ngân mới,Giải ngân mới,1.504.636.538.938,-,1.504.636.538.938,1504636538938.0,,1504636538938.0
Chuyển từ vay dài hạn đến hạn trả,Tăng: > Chuyển từ vay dài hạn đến hạn trả,Chuyển từ vay dài hạn đến hạn trả,-,1.829.797.576.776,1.829.797.576.776,,1829797576776.0,1829797576776.0
Chênh lệch tỷ giá,Tăng: > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,44.740.307.269,44.740.307.269,,44740307269.0,44740307269.0
Giảm:,Giảm:,Giảm:,,,,,,
Thanh toán các khoản gốc vay,Giảm: > Thanh toán các khoản gốc vay,Thanh toán các khoản gốc vay,(1.569.636.538.938),"(1,837,997,576,778)",(3.407.634.115.716),-1569636538938.0,,-3407634115716.0
Thanh toán gốc vay trước hạn,Giảm: > Thanh toán gốc vay trước hạn,Thanh toán gốc vay trước hạn,-,(13.200.000.000),(13.200.000.000),,-13200000000.0,-13200000000.0
Giá trị ghi sổ và số có khả năng trả nợ tại ngày 31/12/2018,Giảm: > Giá trị ghi sổ và số có khả năng trả nợ tại ngày 31/12/2018,Giá trị ghi sổ và số có khả năng trả nợ tại ngày 31/12/2018,-,1.861.337.884.045,1.861.337.884.045,,1861337884045.0,1861337884045.0
