row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6)
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,"Bán hàng hóa, dịch vụ cho thuê xe và cho thuê kho",402.574.067.084,193.600.852.989,,,402574067084.0,193600852989.0
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Bán hàng hóa và dịch vụ cho thuê xe,117.425.383.022,64.453.721,,,117425383022.0,64453721.0
"An Phat International, Inc.","An Phat International, Inc.","An Phat International, Inc.",Công ty con,Bán hàng hóa,26.207.500.618,82.432.622.221,,,26207500618.0,82432622221.0
Công ty An Vinh,Công ty An Vinh,Công ty An Vinh,Công ty con,Bán hàng hóa và dịch vụ cho thuê xe,13.562.933.790,3.799.482.054,,,13562933790.0,3799482054.0
Công ty Ankor Bioplastics,Công ty Ankor Bioplastics,Công ty Ankor Bioplastics,Công ty có cùng lãnh đạo chủ chốt,Bán hàng hóa,8.184.885.120,4.998.912.000,,,8184885120.0,4998912000.0
Công ty cổ phần ANBIO,Công ty cổ phần ANBIO,Công ty cổ phần ANBIO,Công ty có cùng lãnh đạo chủ chốt,Bán hàng hóa và cho thuê kho,4.521.708.348,-,,,4521708348.0,
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,Bán hàng hóa,2.166.946.650,222.798.246.095,,,2166946650.0,222798246095.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,,2.915.887.045,2.765.549.914,,,2915887045.0,2765549914.0
,,,,,577.559.311.677,510.460.118.994,,,577559311677.0,510460118994.0
Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),,,,
Công ty An Cường,Phải thu dài hạn của khách hàng (Thuyết minh số 6) > Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Bán hàng hóa,-,97.326.405.383,,,,97326405383.0
,,,,,-,97.326.405.383,,,,97326405383.0
