row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VND
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Nhận vốn góp,489.600.000.000,-,,,489600000000.0,
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Nhận chuyển nhượng cổ phần,370.134.030.000,57.569.388.977,,,370134030000.0,57569388977.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Doanh thu bán hàng và cung cấp dịch vụ,1.170.278.127,76.190.872.254,,,1170278127.0,76190872254.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Mua hàng hóa dịch vụ,8.714.890.758,34.998.800,,,8714890758.0,34998800.0
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,1.120.628.869.002,718.089.672.508,,,1120628869002.0,718089672508.0
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,Mua hàng hóa dịch vụ,365.245.395.870,140.999.918.941,,,365245395870.0,140999918941.0
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,Góp vốn,107.212.000.000,-,,,107212000000.0,
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,Lãi phải trả,3.632.388.359,166.299.666,,,3632388359.0,166299666.0
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,104.304.331.319,273.790.008.938,,,104304331319.0,273790008938.0
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,Mua hàng hóa dịch vụ,290.422.877.790,25.217.079.175,,,290422877790.0,25217079175.0
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,Doanh thu tài chính,3.952.014.564,-,,,3952014564.0,
Công ty An Vinh,Công ty An Vinh,Công ty An Vinh,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,49.532.923.615,135.696.993.686,,,49532923615.0,135696993686.0
Công ty An Tiến,Công ty An Tiến,Công ty An Tiến,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,32.235.126.388,28.657.798.540,,,32235126388.0,28657798540.0
Công ty An Tiến,Công ty An Tiến,Công ty An Tiến,Công ty con,Mua hàng hóa dịch vụ,77.769.471.355,32.227.434.220,,,77769471355.0,32227434220.0
Công ty An Tiến,Công ty An Tiến,Công ty An Tiến,Công ty con,Góp vốn,186.037.790.000,-,,,186037790000.0,
"An Phat International, Inc.","An Phat International, Inc.","An Phat International, Inc.",Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,176.888.821.110,151.471.805.518,,,176888821110.0,151471805518.0
"An Phat International, Inc.","An Phat International, Inc.","An Phat International, Inc.",Công ty con,Góp vốn,227.805.000.000,227.235.300.000,,,227805000000.0,227235300000.0
Công ty An Tín,Công ty An Tín,Công ty An Tín,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,1.294.243.442,1.009.270.454,,,1294243442.0,1009270454.0
Công ty An Tín,Công ty An Tín,Công ty An Tín,Công ty con,Mua hàng hóa dịch vụ,219.215.974.511,247.809.862.648,,,219215974511.0,247809862648.0
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,425.328.283,579.830.174,,,425328283.0,579830174.0
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Lợi nhuận hợp đồng hợp tác kinh doanh,-,17.719.409.974,,,,17719409974.0
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Hoàn trả lãi hợp tác kinh doanh,73.414.344.822,-,,,73414344822.0,
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Thu tiền gốc BCC,210.000.000.000,-,,,210000000000.0,
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Cho vay,31.000.000.000,-,,,31000000000.0,
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Thu tiền về cho vay,20.000.000.000,79.660.000.000,,,20000000000.0,79660000000.0
"AFC Ecoplastics, LLC.","AFC Ecoplastics, LLC.","AFC Ecoplastics, LLC.",Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,41.836.779.316,28.181.826.322,,,41836779316.0,28181826322.0
