row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,5.454.933.422.063,5.130.176.596.375,5454933422063.0,5130176596375.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,3.775.001.008.970,3.702.758.961.882,3775001008970.0,3702758961882.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,1.663.808.601.387,1.407.417.345.041,1663808601387.0,1407417345041.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,16.123.811.706,20.000.289.452,16123811706.0,20000289452.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(3.339.196.187),(1.072.775.739),-3339196187.0,-1072775739.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(329.050.130),(567.480.005),-329050130.0,-567480005.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(3.010.146.057),(423.432.128),-3010146057.0,-423432128.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,-,(81.863.606),,-81863606.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,5.451.594.225.876,5.129.103.820.636,5451594225876.0,5129103820636.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ bên khác,Trong đó: > Doanh thu từ bên khác,Doanh thu từ bên khác,3.637.322.558.275,3.531.671.270.480,3637322558275.0,3531671270480.0
Doanh thu từ bên liên quan (Thuyết minh số 30),Trong đó: > Doanh thu từ bên liên quan (Thuyết minh số 30),Doanh thu từ bên liên quan (Thuyết minh số 30),1.814.271.667.601,1.597.432.550.156,1814271667601.0,1597432550156.0
