row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Đơn vị tính: VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Đơn vị tính: VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 7)
Công ty cổ phần ANBIO,Công ty cổ phần ANBIO,Công ty cổ phần ANBIO,Công ty có cùng lãnh đạo chủ chốt,Mua hàng hóa,3.228.690.598,-,,,3228690598.0,
Công ty Ankor Bioplastics,Công ty Ankor Bioplastics,Công ty Ankor Bioplastics,Công ty có cùng lãnh đạo chủ chốt,Mua hàng hóa,2.150.021.188,2.255.241.688,,,2150021188.0,2255241688.0
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,Mua hàng hóa,-,32.736.252.510,,,,32736252510.0
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,Mua hàng hóa,-,23.363.247.900,,,,23363247900.0
,,,,,5.378.711.786,58.354.742.098,,,5378711786.0,58354742098.0
Phải thu về cho vay ngắn hạn (mã số 135),Phải thu về cho vay ngắn hạn (mã số 135),Phải thu về cho vay ngắn hạn (mã số 135),Phải thu về cho vay ngắn hạn (mã số 135),Phải thu về cho vay ngắn hạn (mã số 135),Phải thu về cho vay ngắn hạn (mã số 135),Phải thu về cho vay ngắn hạn (mã số 135),,,,
Công ty An Phát Complex,Phải thu về cho vay ngắn hạn (mã số 135) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Cho vay,11.000.000.000,-,,,11000000000.0,
,,,,,11.000.000.000,-,,,11000000000.0,
Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),,,,
Công ty An Phát Complex,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Phải thu vốn góp từ Hợp đồng hợp tác kinh doanh,-,210.000.000.000,,,,210000000000.0
Công ty An Phát Complex,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Phải thu lợi nhuận được chia từ Hợp đồng hợp tác kinh doanh,-,70.841.309.754,,,,70841309754.0
Công ty An Phát Complex,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Lãi phải thu,23.630.137,2.573.035.068,,,23630137.0,2573035068.0
Ông Phạm Ánh Dương,Phải thu ngắn hạn khác (Thuyết minh số 8) > Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Chủ tịch Hội đồng Quản trị (đã miễn nhiệm ngày 20 tháng 6 năm 2022),Phải thu từ chi trả hộ và tạm ứng,71.101.986,1.441.482.950,,,71101986.0,1441482950.0
Bên liên quan khác,Phải thu ngắn hạn khác (Thuyết minh số 8) > Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,160.804.579,408.555.713,,,160804579.0,408555713.0
,,,,,255.536.702,285.264.383.485,,,255536702.0,285264383485.0
