row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn",Thiết bịvăn phòng,"Cây lâu năm,sức vật làm việcvà cho sản phẩm",Tài sản cố địnhhữu hình khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn",numeric__Thiết bịvăn phòng,"numeric__Cây lâu năm,sức vật làm việcvà cho sản phẩm",numeric__Tài sản cố địnhhữu hình khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,
Số đầu năm- Mua trong năm- Đầu tư XDCB hoàn thành,Nguyên giá: > Số đầu năm- Mua trong năm- Đầu tư XDCB hoàn thành,Số đầu năm- Mua trong năm- Đầu tư XDCB hoàn thành,557.509.380.983-199.525.578.416-,1.644.333.581.3026.541.740.209-,165.050.433.547897.318.182-,7.843.412.734-,15.501.270.000-,23.656.782.610-,2.413.894.861.1767.439.058.391,,,,,,,2.4138948611767437e+22
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",557.509.380.983-199.525.578.416-,(305.374.100),(10.844.287.859),-,-,-,199.525.578.416(11.149.661.959),,-305374100.0,-10844287859.0,,,,
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,757.034.959.399,1.650.569.947.411,155.103.463.870,7.843.412.734,15.501.270.000,23.656.782.610,2.609.709.836.024,757034959399.0,1650569947411.0,155103463870.0,7843412734.0,15501270000.0,23656782610.0,2609709836024.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,14.367.160.841,269.487.149.937,31.799.605.929,1.712.557.787,2.466.500.000,2.539.314.446,322.372.288.940,14367160841.0,269487149937.0,31799605929.0,1712557787.0,2466500000.0,2539314446.0,322372288940.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,,
"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán",164.725.018.03628.601.054.249-,911.670.766.352131.055.830.755(255.703.247),101.487.895.74715.058.952.927(8.306.216.482),4.887.701.6261.012.962.215-,7.297.143.450831.694.826-,15.077.384.2892.049.169.644-,1.205.145.909.500178.609.664.616(8.561.919.729),,,,,,,
Số cuối năm,"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán > Số cuối năm",Số cuối năm,193.326.072.285,1.042.470.893.860,108.240.632.192,5.900.663.841,8.128.838.276,17.126.553.933,1.375.193.654.387,193326072285.0,1042470893860.0,108240632192.0,5900663841.0,8128838276.0,17126553933.0,1375193654387.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,392.784.362.947,732.662.814.950,63.562.537.800,2.955.711.108,8.204.126.550,8.579.398.321,1.208.748.951.676,392784362947.0,732662814950.0,63562537800.0,2955711108.0,8204126550.0,8579398321.0,1208748951676.0
