row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND > Các khoản vay ngân hàng bằng USD,Số cuối năm (VND) > 531.362.397.027 > 375.815.054.272,"Kỳ hạn trả gốc và lãi > Thời hạn vay theo từng khế ước nhận nợ, tối đa 8 tháng. Lãi vay trả vào ngày 20 đến 26 hàng tháng.Ngày đáo hạn cuối cùng vào tháng 3 năm 2023. > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng. Lãi vay trả vào ngày 20 đến 28 hàng tháng hoặc trả vào cuối kỳ. Ngày đáo hạn cuối cùng vào 27 tháng 6 năm 2023.","Lãi suất năm > 5,5% - 8% > 3,3% - 4,9%",numeric__Số cuối năm (VND) > 531.362.397.027 > 375.815.054.272,"numeric__Kỳ hạn trả gốc và lãi > Thời hạn vay theo từng khế ước nhận nợ, tối đa 8 tháng. Lãi vay trả vào ngày 20 đến 26 hàng tháng.Ngày đáo hạn cuối cùng vào tháng 3 năm 2023. > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng. Lãi vay trả vào ngày 20 đến 28 hàng tháng hoặc trả vào cuối kỳ. Ngày đáo hạn cuối cùng vào 27 tháng 6 năm 2023.","numeric__Lãi suất năm > 5,5% - 8% > 3,3% - 4,9%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,907.177.451.299,,,907177451299.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Vay có tài sản đảm bảo,Trong đó: > Vay có tài sản đảm bảo,Vay có tài sản đảm bảo,864.292.778.817,,,864292778817.0,,
Vay tín chấp,Trong đó: > Vay tín chấp,Vay tín chấp,42.884.672.482,,,42884672482.0,,
