row_label_raw,row_label_full,Ông Nguyễn Lê Thăng Long > Ông Phạm Ánh Dương > Ông Nguyễn Lê Trung > Ông Nguyễn Lê Thăng Long,Chủ tịch > Phó Chủ tịch,Bổ nhiệm ngày 20 tháng 6 năm 2022 > Miễn nhiệm ngày 20 tháng 6 năm 2022,numeric__Chủ tịch > Phó Chủ tịch,numeric__Bổ nhiệm ngày 20 tháng 6 năm 2022 > Miễn nhiệm ngày 20 tháng 6 năm 2022
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Thành viên,,,
Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Thành viên,,,
Ông Phan Trí Nghĩa,Ông Phan Trí Nghĩa,Ông Phan Trí Nghĩa,Thành viên,Bổ nhiệm ngày 20 tháng 6 năm 2022,,
Ông Đình Xuân Cường,Ông Đình Xuân Cường,Ông Đình Xuân Cường,Thành viên,,,
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Thành viên,Miễn nhiệm ngày 20 tháng 6 năm 2022,,
