row_label_raw,row_label_full,Đầu tư vào công ty con(Thuyết minh số 13.1) > Đầu tư vào công ty liênkết (Thuyết minh số 13.2) > Đầu tư góp vốn vào đơn vịkhác (Thuyết minh số 13.3),Số cuối năm > Giá gốc > 2.407.746.671.231 > 1.161.023.927.841 > -,Số cuối năm > Dự phòng > (201.107.266.281) > -,Số cuối năm > Giá trị còn lại > 2.206.639.404.950 > 1.161.023.927.841 > -,Số đầu năm > Giá gốc > 1.762.013.648.436 > 452.906.343.389 > 17.995.000.000,Số đầu năm > Dự phòng > (25.821.172.048) > -,Số đầu năm > Giá trị còn lại > 1.736.192.476.388 > 452.906.343.389 > 17.995.000.000,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Số cuối năm > Giá gốc > 2.407.746.671.231 > 1.161.023.927.841 > -,numeric__Số cuối năm > Dự phòng > (201.107.266.281) > -,numeric__Số cuối năm > Giá trị còn lại > 2.206.639.404.950 > 1.161.023.927.841 > -,numeric__Số đầu năm > Giá gốc > 1.762.013.648.436 > 452.906.343.389 > 17.995.000.000,numeric__Số đầu năm > Dự phòng > (25.821.172.048) > -,numeric__Số đầu năm > Giá trị còn lại > 1.736.192.476.388 > 452.906.343.389 > 17.995.000.000,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.568.770.599.072,(201.107.266.281),3.367.663.332.791,2.232.914.991.825,(25.821.172.048),2.207.093.819.777,,,3568770599072.0,-201107266281.0,3367663332791.0,2232914991825.0,-25821172048.0,2207093819777.0,,
13.1 Đầu tư vào công ty con,13.1 Đầu tư vào công ty con,13.1 Đầu tư vào công ty con,13.1 Đầu tư vào công ty con,13.1 Đầu tư vào công ty con,13.1 Đầu tư vào công ty con,13.1 Đầu tư vào công ty con,13.1 Đầu tư vào công ty con,13.1 Đầu tư vào công ty con,13.1 Đầu tư vào công ty con,13.1 Đầu tư vào công ty con,,,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,,,
,,,Giá trị(VND),Giá trị hợp lý(VND),Tỷ lệ vốnnấm giữtrực tiếp,Tỷ lệ biểuquyết,Giá trị(VND),Giá trị hợp lý(VND),Tỷ lệ vốnnấm giữtrực tiếp,Tỷ lệbiểuquyết,,,,,,,,
Công ty An Tiến (i),13.1 Đầu tư vào công ty con > Công ty An Tiến (i),Công ty An Tiến (i),407.298.831.231,166.883.214.540,"54,85","54,85",194.826.838.436,397.190.681.650,"50,51","50,51",407298831231.0,166883214540.0,54.85,54.85,194826838436.0,397190681650.0,50.51,50.51
Công ty An Phát Complex,13.1 Đầu tư vào công ty con > Công ty An Phát Complex,Công ty An Phát Complex,909.600.000.000,(*),"92,02","92,02",910.000.000.000,(*),"92,06","92,06",909600000000.0,,92.02,92.02,910000000000.0,,92.06,92.06
Công ty An Vinh (ii),13.1 Đầu tư vào công ty con > Công ty An Vinh (ii),Công ty An Vinh (ii),461.395.540.000,(*),"99,95","99,95",362.751.510.000,(*),"86,46","86,46",461395540000.0,,99.95,99.95,362751510000.0,,86.46,86.46
"An Phat International, Inc. (iii)","13.1 Đầu tư vào công ty con > An Phat International, Inc. (iii)","An Phat International, Inc. (iii)",455.040.300.000,(*),"99,999","99,999",227.235.300.000,(*),"99,998","99,998",455040300000.0,,99.999,99.999,227235300000.0,,99.998,99.998
Công ty An Thành (iv),13.1 Đầu tư vào công ty con > Công ty An Thành (iv),Công ty An Thành (iv),174.412.000.000,(*),"48,69","99,69",67.200.000.000,(*),"30,11","99,37",174412000000.0,,48.69,99.69,67200000000.0,,30.11,99.37
TỔNG CỘNG,13.1 Đầu tư vào công ty con > TỔNG CỘNG,TỔNG CỘNG,2.407.746.671.231,,,,1.762.013.648.436,,,,2407746671231.0,,,,1762013648436.0,,,
