row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND Số đầu năm > Giá trị,Đơn vị tính: VND Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND Số đầu năm > Giá trị,numeric__Đơn vị tính: VND Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tạm ứng,Ngắn hạn > Tạm ứng,Tạm ứng,10.399.014.200,-,4.802.921.672,-,10399014200.0,,4802921672.0,
Ký quỹ,Ngắn hạn > Ký quỹ,Ký quỹ,6.599.562.505,-,10.278.382.886,-,6599562505.0,,10278382886.0,
Lãi dự thu,Ngắn hạn > Lãi dự thu,Lãi dự thu,1.687.938.337,-,3.845.569.417,-,1687938337.0,,3845569417.0,
Phải thu về góp vốn hợp tác kinh doanh,Ngắn hạn > Phải thu về góp vốn hợp tác kinh doanh,Phải thu về góp vốn hợp tác kinh doanh,-,-,210.000.000.000,-,,,210000000000.0,
Đặt cọc mua cổ phần,Ngắn hạn > Đặt cọc mua cổ phần,Đặt cọc mua cổ phần,-,-,69.600.000.000,-,,,69600000000.0,
Phải thu lợi nhuận được chia tử hợp đồng hợp tác kinh doanh,Ngắn hạn > Phải thu lợi nhuận được chia tử hợp đồng hợp tác kinh doanh,Phải thu lợi nhuận được chia tử hợp đồng hợp tác kinh doanh,-,-,70.841.309.754,-,,,70841309754.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,1.002.132.847,-,2.561.388.663,-,1002132847.0,,2561388663.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,19.688.647.889,-,371.929.572.392,-,19688647889.0,,371929572392.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu ngắn hạn khác,Trong đó: > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,19.433.111.187,-,86.665.188.907,-,19433111187.0,,86665188907.0,
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 30),Trong đó: > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 30),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 30),255.536.702,-,285.264.383.485,-,255536702.0,,285264383485.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Ký quỹ,Dài hạn > Ký quỹ,Ký quỹ,350.576.081,-,350.576.081,-,350576081.0,,350576081.0,
Phải thu khác (*),Dài hạn > Phải thu khác (*),Phải thu khác (*),14.213.893.000,-,14.925.243.000,-,14213893000.0,,14925243000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,14.564.469.081,-,15.275.819.081,-,14564469081.0,,15275819081.0,
