row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,
Công ty An Vinh,Công ty An Vinh,Công ty An Vinh,Công ty con,
"An Phat International, Inc.","An Phat International, Inc.","An Phat International, Inc.",Công ty con,
Công ty An Tiến,Công ty An Tiến,Công ty An Tiến,Công ty con,
"AFC Ecoplastics, LLC.","AFC Ecoplastics, LLC.","AFC Ecoplastics, LLC.",Công ty con,
Công ty An Tín,Công ty An Tín,Công ty An Tín,Công ty con,
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,
Công ty An Phát Complex 1,Công ty An Phát Complex 1,Công ty An Phát Complex 1,Công ty con,
Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty liên kết,
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,
Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty cùng Tập đoàn,
Công ty TNHH MTV Cơ khí chính xác và Chế tạo khuôn mẫu Việt Nam,Công ty TNHH MTV Cơ khí chính xác và Chế tạo khuôn mẫu Việt Nam,Công ty TNHH MTV Cơ khí chính xác và Chế tạo khuôn mẫu Việt Nam,Công ty cùng Tập đoàn,
Công ty TNHH Phát triển xuất nhập khẩu và đầu tư Viexim,Công ty TNHH Phát triển xuất nhập khẩu và đầu tư Viexim,Công ty TNHH Phát triển xuất nhập khẩu và đầu tư Viexim,Công ty cùng Tập đoàn,
Công ty PBAT,Công ty PBAT,Công ty PBAT,Công ty liên kết,
"Công ty Cổ phần Sản xuất tổng hợp Sunrise Việt Nam (""Công ty Sunrise"")","Công ty Cổ phần Sản xuất tổng hợp Sunrise Việt Nam (""Công ty Sunrise"")","Công ty Cổ phần Sản xuất tổng hợp Sunrise Việt Nam (""Công ty Sunrise"")",Công ty liên kết của công ty con,
Công ty Cổ phần dịch vụ xăng dầu An Đông,Công ty Cổ phần dịch vụ xăng dầu An Đông,Công ty Cổ phần dịch vụ xăng dầu An Đông,Công ty liên kết của công ty con,
Công ty Ankor Bioplastics,Công ty Ankor Bioplastics,Công ty Ankor Bioplastics,Công ty cùng lãnh đạo chủ chốt,
Công ty Cổ phần ANBIO,Công ty Cổ phần ANBIO,Công ty Cổ phần ANBIO,Công ty cùng lãnh đạo chủ chốt,
Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty Cổ Phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty liên kết của công ty con (Kế từ tháng 11 năm 2022),
Công ty cổ phần giải pháp và dịch vụ phần mềm Nam Việt,Công ty cổ phần giải pháp và dịch vụ phần mềm Nam Việt,Công ty cổ phần giải pháp và dịch vụ phần mềm Nam Việt,Công ty liên kết từ tháng 12 năm 2022,
Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty liên kết,
Ông Nguyễn Lê Thăng Long,Ông Nguyễn Lê Thăng Long,Ông Nguyễn Lê Thăng Long,Chủ tịch HĐQT (Bổ nhiệm ngày 20 tháng 6 năm 2022)/Phó Chủ tịch HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022),
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Chủ tịch HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022),
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Phó Chủ tịch HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022)/Tổng Giám đốc,
Ông Đình Xuân Cường,Ông Đình Xuân Cường,Ông Đình Xuân Cường,Thành viên HĐQT,
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Thành viên HĐQT,
Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Thành viên HĐQT/ Phó Tổng Giám đốc,
Ông Phan Trí Nghĩa,Ông Phan Trí Nghĩa,Ông Phan Trí Nghĩa,Thành viên HĐQT (Bổ nhiệm ngày 20 tháng 6 năm 2022),
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Thành viên HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022)/Phó Tổng Giám đốc,
Ông Ngô Văn Thụ,Ông Ngô Văn Thụ,Ông Ngô Văn Thụ,Phó Tổng Giám đốc,
Bà Lâm Thị Hiền,Bà Lâm Thị Hiền,Bà Lâm Thị Hiền,Phó Tổng Giám đốc,
Bà Nguyễn Thị Giang,Bà Nguyễn Thị Giang,Bà Nguyễn Thị Giang,Trường Ban kiểm soát,
Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Thành viên Ban Kiểm soát,
Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Thành viên Ban Kiểm soát,
