row_label_raw,row_label_full,Năm trước > Số đầu năm > - Lợi nhuận thuần trong năm,Vốn cổ phần đã phát hành > Năm trước > 2.217.599.740.000 > -,Thặng dư vốn cổ phần > Năm trước > 692.089.189.329 > -,Quỹ đầu tư phát triển > Năm trước > 72.330.911.673 > -,Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 11.612.477.781 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 303.036.563.437 > 187.738.207.281,Đơn vị tính: VND Tổng cộng > Năm trước > 3.296.668.882.220 > 187.738.207.281,numeric__Vốn cổ phần đã phát hành > Năm trước > 2.217.599.740.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước > 692.089.189.329 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 72.330.911.673 > -,numeric__Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 11.612.477.781 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 303.036.563.437 > 187.738.207.281,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 3.296.668.882.220 > 187.738.207.281
- Tăng vốn,- Tăng vốn,- Tăng vốn,750.000.000.000,317.262.154.488,-,-,-,1.067.262.154.488,750000000000.0,317262154488.0,,,,1067262154488.0
- Tăng vốn từ thặng dư vốn cổ phần,- Tăng vốn từ thặng dư vốn cổ phần,- Tăng vốn từ thặng dư vốn cổ phần,296.745.220.000,(296.745.220.000),-,-,-,-,296745220000.0,-296745220000.0,,,,
- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,-,(148.379.987.000),(148.379.987.000),,,,,-148379987000.0,-148379987000.0
"- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(37.631.410.712),(37.631.410.712),,,,,-37631410712.0,-37631410712.0
Số cuối năm,Số cuối năm,Số cuối năm,3.264.344.960.000,712.606.123.817,72.330.911.673,11.612.477.781,304.763.373.006,4.365.657.846.277,3264344960000.0,712606123817.0,72330911673.0,11612477781.0,304763373006.0,4365657846277.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.264.344.960.000,712.606.123.817,72.330.911.673,11.612.477.781,304.763.373.006,4.365.657.846.277,3264344960000.0,712606123817.0,72330911673.0,11612477781.0,304763373006.0,4365657846277.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,33.840.974.352,33.840.974.352,,,,,33840974352.0,33840974352.0
- Tăng vốn (*),Năm nay > - Tăng vốn (*),- Tăng vốn (*),558.400.000.000,111.355.200.000,-,-,-,669.755.200.000,558400000000.0,111355200000.0,,,,669755200000.0
"- Trích quỹ khen thưởng, phúc lợi (**)","Năm nay > - Trích quỹ khen thưởng, phúc lợi (**)","- Trích quỹ khen thưởng, phúc lợi (**)",-,-,-,-,(37.547.641.456),(37.547.641.456),,,,,-37547641456.0,-37547641456.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.822.744.960.000,823.961.323.817,72.330.911.673,11.612.477.781,301.056.705.902,5.031.706.379.173,3822744960000.0,823961323817.0,72330911673.0,11612477781.0,301056705902.0,5031706379173.0
