row_label_raw,row_label_full,"Tên đơn vị > Công ty Cổ phần Nhựa Hà Nội (""Công ty Nhựa Hà Nội"") > Công ty Cổ phần Nhựa Bao bì Vinh (""Công ty Nhựa Bao bì Vinh"") > Công ty Cổ phần giải pháp và dịch vụ phần mềm Nam Việt (iv) > Công ty Cổ phần Sản xuất PBAT An Phát (""Công ty PBAT"") > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Tên đơn vị","Địa chỉ > Tổ 12, phường Phúc Lợi, quận Long Biên, thành phố Hà Nội, Việt Nam > Khối 8, phường Bến Thủy, thành phố Vinh, tỉnh Nghệ An, Việt Nam > BT4 lô E9 Vimexco, đường Phạm Hùng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam > Lô CN5-04 Khu Phi thuế quan và Khu Công nghiệp Nam Đình Vũ thuộc Khu Kinh tế Đình Vũ - Cát Hải, Phường Đông Hải 2, Quận Hải An, Thành phố Hải Phòng, Việt Nam > Chi tiết giá trị đầu tư vào công ty liên kết như sau:","Hoạt động chính > Sản xuất, kinh doanh các sản phẩm nhựa loại khuôn mẫu > Sản xuất, kinh doanh nhựa và cao su tổng hợp dạng nguyên sinh > Xuất bản phần mềm > Sản xuất sản phẩm từ plastic và cao su tổng hợp dạng nguyên sinh > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Số cuối năm > Giá trị (VND)","Số cuối năm > Tỷ lệ vốn nấm giữ trực tiếp (%) > 47,44 > 34,84 > 49 > 3,24 > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Số cuối năm > Giá trị hợp lý (VND)","Số cuối năm > Tỷ lệ quyền biểu quyết (%) > 47,44 > 34,84 > 49 > 30,34 > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Số đầu năm > Giá trị (VND)","Số đầu năm > Tỷ lệ vốn nấm giữ trực tiếp (%) > 21,37 > 34,84 > - > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Số đầu năm > Giá trị hợp lý (VND)","Số đầu năm > Tỷ lệ quyền biểu quyết (%) > 21,37 > 34,84 > - > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Số đầu năm > Giá trị hợp lý (VND)","numeric__Địa chỉ > Tổ 12, phường Phúc Lợi, quận Long Biên, thành phố Hà Nội, Việt Nam > Khối 8, phường Bến Thủy, thành phố Vinh, tỉnh Nghệ An, Việt Nam > BT4 lô E9 Vimexco, đường Phạm Hùng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam > Lô CN5-04 Khu Phi thuế quan và Khu Công nghiệp Nam Đình Vũ thuộc Khu Kinh tế Đình Vũ - Cát Hải, Phường Đông Hải 2, Quận Hải An, Thành phố Hải Phòng, Việt Nam > Chi tiết giá trị đầu tư vào công ty liên kết như sau:","numeric__Hoạt động chính > Sản xuất, kinh doanh các sản phẩm nhựa loại khuôn mẫu > Sản xuất, kinh doanh nhựa và cao su tổng hợp dạng nguyên sinh > Xuất bản phần mềm > Sản xuất sản phẩm từ plastic và cao su tổng hợp dạng nguyên sinh > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Số cuối năm > Giá trị (VND)","numeric__Số cuối năm > Tỷ lệ vốn nấm giữ trực tiếp (%) > 47,44 > 34,84 > 49 > 3,24 > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Số cuối năm > Giá trị hợp lý (VND)","numeric__Số cuối năm > Tỷ lệ quyền biểu quyết (%) > 47,44 > 34,84 > 49 > 30,34 > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Số đầu năm > Giá trị (VND)","numeric__Số đầu năm > Tỷ lệ vốn nấm giữ trực tiếp (%) > 21,37 > 34,84 > - > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Số đầu năm > Giá trị hợp lý (VND)","numeric__Số đầu năm > Tỷ lệ quyền biểu quyết (%) > 21,37 > 34,84 > - > Chi tiết giá trị đầu tư vào công ty liên kết như sau: > Số đầu năm > Giá trị hợp lý (VND)"
Công ty Nhựa Hà Nội (i) (ii),Công ty Nhựa Hà Nội (i) (ii),Công ty Nhựa Hà Nội (i) (ii),,1.014.494.728.614,452.899.933.400,378.589.623.614,311.450.280.000,311.450.280.000,,1014494728614.0,452899933400.0,378589623614.0,311450280000.0,311450280000.0
Công ty Nhựa Bao bì Vinh (ii),Công ty Nhựa Bao bì Vinh (ii),Công ty Nhựa Bao bì Vinh (ii),,74.316.719.775,64.026.315.500,74.316.719.775,66.900.966.400,66.900.966.400,,74316719775.0,64026315500.0,74316719775.0,66900966400.0,66900966400.0
Công ty Cổ phần Giải pháp và Dịch vụ Phần mềm Nam Việt (iii),Công ty Cổ phần Giải pháp và Dịch vụ Phần mềm Nam Việt (iii),Công ty Cổ phần Giải pháp và Dịch vụ Phần mềm Nam Việt (iii),,54.392.479.452,(*),-,(*),(*),,54392479452.0,,,,
Công ty Cổ phần Sản xuất PBAT An Phát (iv),Công ty Cổ phần Sản xuất PBAT An Phát (iv),Công ty Cổ phần Sản xuất PBAT An Phát (iv),,17.820.000.000,(*),-,(*),(*),,17820000000.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,1.161.023.927.841,516.926.248.900,452.906.343.389,378.351.246.400,378.351.246.400,,1161023927841.0,516926248900.0,452906343389.0,378351246400.0,378351246400.0
