row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ xuất dùng","Ngắn hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",868.186.801,15.196.356.148,868186801.0,15196356148.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,1.598.689.164,1.788.707.122,1598689164.0,1788707122.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,2.466.875.965,16.985.063.270,2466875965.0,16985063270.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Tiền thuê đất Nhà máy số 8,Dài hạn > Tiền thuê đất Nhà máy số 8,Tiền thuê đất Nhà máy số 8,19.040.065.960,-,19040065960.0,
"Công cụ, dụng cụ xuất dùng","Dài hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",4.684.444.979,8.494.203.325,4684444979.0,8494203325.0
Chi phí sửa chữa lớn,Dài hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,888.376.549,4.328.449.010,888376549.0,4328449010.0
Chi phí khác,Dài hạn > Chi phí khác,Chi phí khác,8.209.934.970,5.733.326,8209934970.0,5733326.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,32.822.822.458,12.828.385.661,32822822458.0,12828385661.0
