row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VNDTổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,78.087.072.029,601.678.000,78.688.750.029,78087072029.0,601678000.0,78688750029.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,473.760.000,473.760.000,,473760000.0,473760000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,78.087.072.029,1.075.438.000,79.162.510.029,78087072029.0,1075438000.0,79162510029.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,14.881.334.914,371.643.779,15.252.978.693,14881334914.0,371643779.0,15252978693.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,2.532.803.640,109.603.937,2.642.407.577,2532803640.0,109603937.0,2642407577.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,17.414.138.554,481.247.716,17.895.386.270,17414138554.0,481247716.0,17895386270.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,63.205.737.115,230.034.221,63.435.771.336,63205737115.0,230034221.0,63435771336.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,60.672.933.475,594.190.284,61.267.123.759,60672933475.0,594190284.0,61267123759.0
