row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỒNG TÀI CHÍNH,,,,,,,
31,31,31,Tiền thu từ phát hành cổ phiếu,21.1,669.755.200.000,1.067.262.154.488,,211.0,669755200000.0,1067262154488.0
33,33,33,Tiền thu từ đi vay,,4.393.365.793.886,4.997.231.349.006,,,4393365793886.0,4997231349006.0
34,34,34,Tiền trả nợ gốc vay,,(4.695.783.418.686),(5.285.137.119.091),,,-4695783418686.0,-5285137119091.0
36,36,36,Cổ tức đã trả cho chủ sở hữu,,-,(148.350.075.501),,,,-148350075501.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,367.337.575.200,631.006.308.902,,,367337575200.0,631006308902.0
50,50,50,Lưu chuyển tiền thuần trong năm,,(256.829.978.633),746.940.795.138,,,-256829978633.0,746940795138.0
60,60,60,Tiền và tương đương tiền đầu năm,,1.363.568.545.921,616.523.339.816,,,1363568545921.0,616523339816.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(1.567.223.921),104.410.967,,,-1567223921.0,104410967.0
70,70,70,Tiền và tương đương tiền cuối năm,4,1.105.171.343.367,1.363.568.545.921,,4.0,1105171343367.0,1363568545921.0
