row_label_raw,row_label_full,Tên > Ông Nguyễn Lê Thăng Long > Ông Phạm Ánh Dương > Ông Nguyễn Lê Trung,Chức vụ > Chủ tịch HĐQT (Bổ nhiệm ngày 20 tháng 6 năm 2022)/Phó Chủ tịch HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022) > Chủ tịch HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022) > Phó Chủ tịch HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022)/Tổng Giám đốc,Đơn vị tính: VND > Năm nay > 150.000.000 > 90.000.000 > 684.719.153,Đơn vị tính: VND > Năm trước > 60.000.000 > 180.000.000 > 713.023.423,numeric__Chức vụ > Chủ tịch HĐQT (Bổ nhiệm ngày 20 tháng 6 năm 2022)/Phó Chủ tịch HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022) > Chủ tịch HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022) > Phó Chủ tịch HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022)/Tổng Giám đốc,numeric__Đơn vị tính: VND > Năm nay > 150.000.000 > 90.000.000 > 684.719.153,numeric__Đơn vị tính: VND > Năm trước > 60.000.000 > 180.000.000 > 713.023.423
Ông Đình Xuân Cường,Ông Đình Xuân Cường,Ông Đình Xuân Cường,Thành viên HĐQT,120.000.000,120.000.000,,120000000.0,120000000.0
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Thành viên HĐQT,120.000.000,110.000.000,,120000000.0,110000000.0
Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Thành viên HĐQT/ Phó Tổng Giám đốc,674.675.838,580.678.317,,674675838.0,580678317.0
Ông Phan Trí Nghĩa,Ông Phan Trí Nghĩa,Ông Phan Trí Nghĩa,Thành viên HĐQT (Bổ nhiệm ngày 20 tháng 6 năm 2022),60.000.000,-,,60000000.0,
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Thành viên HĐQT (Miễn nhiệm ngày 20 tháng 6 năm 2022)/Phó Tổng Giám đốc,503.696.058,529.698.961,,503696058.0,529698961.0
Ông Ngô Văn Thụ,Ông Ngô Văn Thụ,Ông Ngô Văn Thụ,Phó Tổng Giám đốc,110.646.769,428.524.786,,110646769.0,428524786.0
Bà Lâm Thị Hiền,Bà Lâm Thị Hiền,Bà Lâm Thị Hiền,Phó Tổng Giám đốc,470.615.498,417.174.539,,470615498.0,417174539.0
Bà Nguyễn Thị Giang,Bà Nguyễn Thị Giang,Bà Nguyễn Thị Giang,Trường Ban Kiểm soát,120.000.000,120.000.000,,120000000.0,120000000.0
Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Thành viên Ban Kiểm soát,72.000.000,72.000.000,,72000000.0,72000000.0
Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Thành viên Ban Kiểm soát,72.000.000,72.000.000,,72000000.0,72000000.0
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Thành viên HĐQT (miễn nhiệm ngày 29 tháng 6 năm 2021),-,60.000.000,,,60000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,3.248.353.316,3.463.100.026,,3248353316.0,3463100026.0
