row_label_raw,row_label_full,Phải trả bên liên quan (Thuyết minh số 30),Đơn vị tính: VND > Số cuối năm > 698.049.993,Đơn vị tính: VND > Số đầu năm > 1.263.629.290,numeric__Đơn vị tính: VND > Số cuối năm > 698.049.993,numeric__Đơn vị tính: VND > Số đầu năm > 1.263.629.290
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,152.363.100,221.186.565,152363100.0,221186565.0
Đặt cọc,Đặt cọc,Đặt cọc,-,620.853.551,,620853551.0
Phải trả khác,Phải trả khác,Phải trả khác,1.021.056.443,1.008.778.454,1021056443.0,1008778454.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.871.469.536,3.114.447.860,1871469536.0,3114447860.0
