row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 1 tháng 1 năm 2018 > VND,Số dư đầu năm > Ngày 1 tháng 1 năm 2019 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2018 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2019 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2018 > VND,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2019 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2018 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2019 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,5.027.878.981.200,5.235.152.952.935,207.285.971.735,(12.000.000),(10.392.739.400),-,5.235.152.952.935,5.224.760.213.535,,5027878981200.0,5235152952935.0,207285971735.0,-12000000.0,-10392739400.0,,5235152952935.0,5224760213535.0
1.1.Cổ phiếu phố thông,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.1.Cổ phiếu phố thông,1.1.Cổ phiếu phố thông,,5.000.636.840.000,5.100.636.840.000,100.000.000.000,-,-,-,5.100.636.840.000,5.100.636.840.000,,5000636840000.0,5100636840000.0,100000000000.0,,,,5100636840000.0,5100636840000.0
1.2.Thặng dư vốn cổ phần,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.2.Thặng dư vốn cổ phần,1.2.Thặng dư vốn cổ phần,,29.482.756.034,29.470.756.034,-,(12.000.000),-,-,29.470.756.034,29.470.756.034,,29482756034.0,29470756034.0,,-12000000.0,,,29470756034.0,29470756034.0
1.3.Quyền chọn chuyển đối trái phiếu – Cấu phần vốn,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.3.Quyền chọn chuyển đối trái phiếu – Cấu phần vốn,1.3.Quyền chọn chuyển đối trái phiếu – Cấu phần vốn,,-,113.779.095.785,113.779.095.785,-,-,-,113.779.095.785,113.779.095.785,,,113779095785.0,113779095785.0,,,,113779095785.0,113779095785.0
1.4.Cổ phiếu quỹ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.4.Cổ phiếu quỹ,1.4.Cổ phiếu quỹ,,(2.240.614.834),(8.733.738.884),(6.493.124.050),-,(10.392.739.400),-,(8.733.738.884),(19.126.478.284),,-2240614834.0,-8733738884.0,-6493124050.0,,-10392739400.0,,-8733738884.0,-19126478284.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,352.412.398.796,409.057.165.307,56.644.766.511,-,65.246.509.028,-,409.057.165.307,474.303.674.335,,352412398796.0,409057165307.0,56644766511.0,,65246509028.0,,409057165307.0,474303674335.0
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,267.904.804.112,324.549.570.623,56.644.766.511,-,65.246.509.028,-,324.549.570.623,389.796.079.651,,267904804112.0,324549570623.0,56644766511.0,,65246509028.0,,324549570623.0,389796079651.0
4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,574.216.049.874,236.127.124.138,33.917.507.032,(372.006.432.768),97.058.372.289,(72.211.077.394),236.127.124.138,260.974.419.033,,574216049874.0,236127124138.0,33917507032.0,-372006432768.0,97058372289.0,-72211077394.0,236127124138.0,260974419033.0
5. Lợi nhuận chưa phân phối,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 5. Lợi nhuận chưa phân phối,5. Lợi nhuận chưa phân phối,,1.929.437.636.808,2.658.626.538.419,1.908.268.662.012,(1.179.079.760.401),1.091.028.641.913,(995.729.376.803),2.658.626.538.419,2.753.925.803.529,,1929437636808.0,2658626538419.0,1908268662012.0,-1179079760401.0,1091028641913.0,-995729376803.0,2658626538419.0,2753925803529.0
5.1.Lợi nhuận đã thực hiện,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 5.1.Lợi nhuận đã thực hiện,5.1.Lợi nhuận đã thực hiện,,1.953.454.426.782,2.917.855.477.653,1.656.163.587.008,(691.762.536.137),820.781.872.421,(729.892.860.695),2.917.855.477.653,3.008.744.489.379,,1953454426782.0,2917855477653.0,1656163587008.0,-691762536137.0,820781872421.0,-729892860695.0,2917855477653.0,3008744489379.0
5.2.Lợi nhuận chưa thực hiện,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 5.2.Lợi nhuận chưa thực hiện,5.2.Lợi nhuận chưa thực hiện,,(24.016.789.974),(259.228.939.234),252.105.075.004,(487.317.224.264),270.246.769.492,(265.836.516.108),(259.228.939.234),(254.818.685.850),,-24016789974.0,-259228939234.0,252105075004.0,-487317224264.0,270246769492.0,-265836516108.0,-259228939234.0,-254818685850.0
TỔNG CỘNG,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > TỔNG CỘNG,TỔNG CỘNG,27,8.151.849.870.790,8.863.513.351.422,2.262.761.673.801,(1.551.098.193.169),1.308.187.292.858,(1.067.940.454.197),8.863.513.351.422,9.103.760.190.083,27.0,8151849870790.0,8863513351422.0,2262761673801.0,-1551098193169.0,1308187292858.0,-1067940454197.0,8863513351422.0,9103760190083.0
