row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,251.088.814.728,591.104.213.600,472.914.050.245,771.374.100.400,251088814728.0,591104213600.0,472914050245.0,771374100400.0
SGN,SGN,SGN,172.712.731.397,447.423.470.000,172.712.731.401,448.859.875.000,172712731397.0,447423470000.0,172712731401.0,448859875000.0
DHC,DHC,DHC,52.055.700.788,131.244.668.000,52.055.585.738,86.572.890.000,52055700788.0,131244668000.0,52055585738.0,86572890000.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,26.320.382.543,12.436.075.600,248.145.733.106,235.941.335.400,26320382543.0,12436075600.0,248145733106.0,235941335400.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,175.191.146.904,167.092.651.904,385.192.646.900,385.192.646.900,175191146904.0,167092651904.0,385192646900.0,385192646900.0
CTCP PAN Farm,CTCP PAN Farm,CTCP PAN Farm,53.408.921.300,53.408.921.300,53.408.921.300,53.408.921.300,53408921300.0,53408921300.0,53408921300.0,53408921300.0
CTCP ConCung,CTCP ConCung,CTCP ConCung,42.241.999.000,42.241.999.000,42.241.999.000,42.241.999.000,42241999000.0,42241999000.0,42241999000.0,42241999000.0
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,79.540.226.604,71.441.731.604,289.541.726.600,289.541.726.600,79540226604.0,71441731604.0,289541726600.0,289541726600.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,-,-,39.094.900.000,39.094.900.000,,,39094900000.0,39094900000.0
Tổng cộng,Tổng cộng,Tổng cộng,426.279.961.632,758.196.865.504,897.201.597.145,1.195.661.647.300,426279961632.0,758196865504.0,897201597145.0,1195661647300.0
