row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cổ phiếu và chứng khoản khác niêm yết (1),Cổ phiếu và chứng khoản khác niêm yết (1),Cổ phiếu và chứng khoản khác niêm yết (1),1.623.567.774.767,1.395.651.230.940,1.590.440.590.076,1.352.103.397.110,1623567774767.0,1395651230940.0,1590440590076.0,1352103397110.0
HPG,HPG,HPG,178.647.180.878,182.628.981.000,114.029.894.675,99.902.390.800,178647180878.0,182628981000.0,114029894675.0,99902390800.0
GEX,GEX,GEX,132.827.558.855,104.727.985.650,276.761.361.866,217.207.440.750,132827558855.0,104727985650.0,276761361866.0,217207440750.0
DBC,DBC,DBC,253.101.130.155,233.814.891.600,253.132.982.078,227.429.176.000,253101130155.0,233814891600.0,253132982078.0,227429176000.0
ELC,ELC,ELC,191.015.095.516,52.902.913.180,191.566.282.405,68.138.211.840,191015095516.0,52902913180.0,191566282405.0,68138211840.0
FPT,FPT,FPT,159.446.563.013,178.218.144.500,190.787.384.353,169.652.186.800,159446563013.0,178218144500.0,190787384353.0,169652186800.0
OPC,OPC,OPC,163.914.646.949,157.071.600.000,163.962.651.004,169.413.760.000,163914646949.0,157071600000.0,163962651004.0,169413760000.0
MBB,MBB,MBB,72.715.536.508,69.127.156.800,77.175.940.115,73.441.566.200,72715536508.0,69127156800.0,77175940115.0,73441566200.0
PLX,PLX,PLX,370.076.019.330,341.475.456.000,70.261.715.727,67.150.258.000,370076019330.0,341475456000.0,70261715727.0,67150258000.0
Cổ phiếu và chứng khoản niêm yết khác,Cổ phiếu và chứng khoản niêm yết khác,Cổ phiếu và chứng khoản niêm yết khác,101.824.043.563,75.684.102.210,252.762.377.853,259.768.406.720,101824043563.0,75684102210.0,252762377853.0,259768406720.0
Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,147.825.259.973,148.166.359.500,-,-,147825259973.0,148166359500.0,,
HPG,HPG,HPG,18.404.132.189,18.814.335.000,-,-,18404132189.0,18814335000.0,,
FPT,FPT,FPT,25.783.439.996,28.818.914.300,-,-,25783439996.0,28818914300.0,,
REE,REE,REE,15.912.611.872,15.723.708.000,-,-,15912611872.0,15723708000.0,,
VNM,VNM,VNM,33.601.112.644,32.003.715.000,-,-,33601112644.0,32003715000.0,,
VIC,VIC,VIC,3.829.766.027,3.798.450.000,-,-,3829766027.0,3798450000.0,,
VJC,VJC,VJC,10.515.409.420,10.788.098.000,-,-,10515409420.0,10788098000.0,,
VHM,VHM,VHM,15.560.689.439,15.196.160.000,-,-,15560689439.0,15196160000.0,,
MBB,MBB,MBB,24.218.098.386,23.022.979.200,-,-,24218098386.0,23022979200.0,,
Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,399.114.275.313,386.642.357.221,120.582.017.570,112.889.392.928,399114275313.0,386642357221.0,120582017570.0,112889392928.0
CCQ SSIBF,CCQ SSIBF,CCQ SSIBF,40.000.000.000,47.085.000.000,40.000.000.000,44.449.000.000,40000000000.0,47085000000.0,40000000000.0,44449000000.0
CCQ SSISCA,CCQ SSISCA,CCQ SSISCA,-,-,26.500.000.000,33.915.293.454,,,26500000000.0,33915293454.0
Cổ phiếu chưa niêm yết và CCQ khác,Cổ phiếu chưa niêm yết và CCQ khác,Cổ phiếu chưa niêm yết và CCQ khác,359.114.275.313,339.557.357.221,54.082.017.570,34.525.099.474,359114275313.0,339557357221.0,54082017570.0,34525099474.0
Trái phiếu chưa niêm yết và chứng khoản khác (2),Trái phiếu chưa niêm yết và chứng khoản khác (2),Trái phiếu chưa niêm yết và chứng khoản khác (2),2.333.151.012.696,2.333.151.012.696,560.731.951.620,555.683.951.620,2333151012696.0,2333151012696.0,560731951620.0,555683951620.0
Tổng cộng,Tổng cộng,Tổng cộng,4.503.658.322.749,4.263.610.960.357,2.271.754.559.266,2.020.676.741.658,4503658322749.0,4263610960357.0,2271754559266.0,2020676741658.0
