row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng (1),Tự doanh,Kinh doanh nguồn vốn,Ngân hàng đầu tư và các bộ phận khác,Tổng cộng,numeric__Môi giới và dịch vụ khách hàng (1),numeric__Tự doanh,numeric__Kinh doanh nguồn vốn,numeric__Ngân hàng đầu tư và các bộ phận khác,numeric__Tổng cộng
Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,,,,,
1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),Năm 2018 > 1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),1.893.744.955.480,1.229.090.270.433,755.574.565.852,181.666.788.091,4.060.076.579.856,1893744955480.0,1229090270433.0,755574565852.0,181666788091.0,4060076579856.0
2. Các chi phí trực tiếp,Năm 2018 > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,1.020.328.611.530,707.546.406.018,377.825.024.724,59.038.621.460,2.164.738.663.732,1020328611530.0,707546406018.0,377825024724.0,59038621460.0,2164738663732.0
3. Khấu hao và các chi phí phân bổ,Năm 2018 > 3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,99.294.731.257,20.489.388.989,12.608.854.763,25.217.709.525,157.610.684.534,99294731257.0,20489388989.0,12608854763.0,25217709525.0,157610684534.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Năm 2018 > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,774.121.612.693,501.054.475.426,365.140.686.365,97.410.457.106,1.737.727.231.590,774121612693.0,501054475426.0,365140686365.0,97410457106.0,1737727231590.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2018 > 1. Tài sản bộ phận,1. Tài sản bộ phận,5.972.332.012.656,4.133.558.301.844,12.914.276.614.602,7.743.538.547,23.027.910.467.649,5972332012656.0,4133558301844.0,12914276614602.0,7743538547.0,23027910467649.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2018 > 2. Tài sản phân bổ,2. Tài sản phân bổ,135.123.259.087,27.882.577.272,17.158.509.090,34.317.018.181,214.481.363.630,135123259087.0,27882577272.0,17158509090.0,34317018181.0,214481363630.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2018 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,225.270.181.445,,,,,225270181445.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2018 > Tổng tài sản,Tổng tài sản,6.107.455.271.743,4.161.440.879.116,12.931.435.123.692,42.060.556.728,23.467.662.012.724,6107455271743.0,4161440879116.0,12931435123692.0,42060556728.0,23467662012724.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2018 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,2.255.715.036.430,632.702.077.573,11.291.790.838.923,8.511.191.164,14.188.719.144.090,2255715036430.0,632702077573.0,11291790838923.0,8511191164.0,14188719144090.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2018 > 5. Nợ phân bổ,5. Nợ phân bổ,162.991.834.291,33.633.235.647,20.697.375.783,41.394.751.566,258.717.197.287,162991834291.0,33633235647.0,20697375783.0,41394751566.0,258717197287.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2018 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,156.712.319.925,,,,,156712319925.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2018 > Tổng công nợ,Tổng công nợ,2.418.706.870.721,666.335.313.220,11.312.488.214.706,49.905.942.730,14.604.148.661.302,2418706870721.0,666335313220.0,11312488214706.0,49905942730.0,14604148661302.0
