row_label_raw,row_label_full,Số đầu năm,Vốn góp của chủ sở hữu > 5.100.636.840.000,Thặng dư vốn cổ phần > 29.470.756.034,Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn > 113.779.095.785,Cổ phiếu quỹ > (8.733.738.884),Chênh lệch đánh giá lại tài sản theo giá trị hợp lý > 236.127.124.138,Quỹ dự trữ bổ sung vốn điều lệ > 409.057.165.307,Quỹ dự phòng tài chính và rủi ro nghiệp vụ > 324.549.570.623,Lợi nhuận chưa phân phối > 2.658.626.538.419,Tổng cộng > 8.863.513.351.422,numeric__Vốn góp của chủ sở hữu > 5.100.636.840.000,numeric__Thặng dư vốn cổ phần > 29.470.756.034,numeric__Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn > 113.779.095.785,numeric__Cổ phiếu quỹ > (8.733.738.884),numeric__Chênh lệch đánh giá lại tài sản theo giá trị hợp lý > 236.127.124.138,numeric__Quỹ dự trữ bổ sung vốn điều lệ > 409.057.165.307,numeric__Quỹ dự phòng tài chính và rủi ro nghiệp vụ > 324.549.570.623,numeric__Lợi nhuận chưa phân phối > 2.658.626.538.419,numeric__Tổng cộng > 8.863.513.351.422
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,-,-,824.862.475.805,824.862.475.805,,,,,,,,824862475805.0,824862475805.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,(10.392.739.400),-,-,-,-,(10.392.739.400),,,,-10392739400.0,,,,,-10392739400.0
Đánh giá lại tài sản tài chính AFS,Đánh giá lại tài sản tài chính AFS,Đánh giá lại tài sản tài chính AFS,-,-,-,-,24.847.294.895,-,-,-,24.847.294.895,,,,,24847294895.0,,,,24847294895.0
Cổ tức bằng tiền 2018 (10%),Cổ tức bằng tiền 2018 (10%),Cổ tức bằng tiền 2018 (10%),-,-,-,-,-,-,-,(508.054.730.000),(508.054.730.000),,,,,,,,-508054730000.0,-508054730000.0
Trích quỹ dự trữ bổ sung vốn điều lệ 5% LNST theo,Trích quỹ dự trữ bổ sung vốn điều lệ 5% LNST theo,Trích quỹ dự trữ bổ sung vốn điều lệ 5% LNST theo,,,,,,,,,,,,,,,,,,
"Nghị quyết Đại hội đồng cổ đông (""ĐHĐCD"")","Trích quỹ dự trữ bổ sung vốn điều lệ 5% LNST theo > Nghị quyết Đại hội đồng cổ đông (""ĐHĐCD"")","Nghị quyết Đại hội đồng cổ đông (""ĐHĐCD"")",-,-,-,-,-,65.246.509.028,-,(65.246.509.028),-,,,,,,65246509028.0,,-65246509028.0,
Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo,Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo,Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo,,,,,,,,,,,,,,,,,,
Nghị quyết ĐHĐCD,Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% LNST theo > Nghị quyết ĐHĐCD,Nghị quyết ĐHĐCD,-,-,-,-,-,-,65.246.509.028,(65.246.509.028),-,,,,,,,65246509028.0,-65246509028.0,
"Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo","Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo","Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo",,,,,,,,,,,,,,,,,,
Nghị quyết ĐHĐCD,"Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo > Nghị quyết ĐHĐCD",Nghị quyết ĐHĐCD,-,-,-,-,-,-,-,(91.345.112.639),(91.345.112.639),,,,,,,,-91345112639.0,-91345112639.0
Tăng khác,"Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo > Tăng khác",Tăng khác,-,-,-,-,-,-,-,329.650.000,329.650.000,,,,,,,,329650000.0,329650000.0
Số cuối năm,"Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo > Số cuối năm",Số cuối năm,5.100.636.840.000,29.470.756.034,113.779.095.785,(19.126.478.284),260.974.419.033,474.303.674.335,389.796.079.651,2.753.925.803.529,9.103.760.190.083,5100636840000.0,29470756034.0,113779095785.0,-19126478284.0,260974419033.0,474303674335.0,389796079651.0,2753925803529.0,9103760190083.0
