row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Chỉ tiêu,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
I,I,I,Thuế,68.104.801.635,410.671.123.689,427.131.601.362,51.644.323.962,,68104801635.0,410671123689.0,427131601362.0,51644323962.0
1,1,1,Thuế giá trị gia tăng hàng bán nội địa,815.853.250,11.125.504.083,10.816.656.118,1.124.701.215,,815853250.0,11125504083.0,10816656118.0,1124701215.0
2,2,2,Thuế thu nhập doanh nghiệp(Thuyết minh số 39.1),39.931.475.009,167.715.814.551,183.628.896.382,24.018.393.178,,39931475009.0,167715814551.0,183628896382.0,24018393178.0
3,3,3,Các loại thuế khác,27.357.473.376,231.829.805.055,232.686.048.862,26.501.229.569,,27357473376.0,231829805055.0,232686048862.0,26501229569.0
3,3,3,Thuế thu nhập cá nhân,5.655.980.582,45.244.456.436,45.174.871.232,5.725.565.786,,5655980582.0,45244456436.0,45174871232.0,5725565786.0
3,3,3,Thuế thu nhập cá nhân nộp hộ nhà đầu tư,17.817.248.995,139.293.363.555,140.172.947.557,16.937.664.993,,17817248995.0,139293363555.0,140172947557.0,16937664993.0
3,3,3,Thuế môn bài,-,17.500.000,17.500.000,-,,,17500000.0,17500000.0,
3,3,3,Thuế khác,3.884.243.799,47.274.485.064,47.320.730.073,3.837.998.790,,3884243799.0,47274485064.0,47320730073.0,3837998790.0
II,II,II,Các khoản phải nộp khác,-,101.836.752,101.836.752,-,,,101836752.0,101836752.0,
II,II,II,Tổng cộng,68.104.801.635,410.772.960.441,427.233.438.114,51.644.323.962,,68104801635.0,410772960441.0,427233438114.0,51644323962.0
