row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Từ tài sản tài chính FVTPL,Từ tài sản tài chính FVTPL,Từ tài sản tài chính FVTPL,82.260.656.777,88.354.252.062,82260656777.0,88354252062.0
Từ tài sản tài chính HTM,Từ tài sản tài chính HTM,Từ tài sản tài chính HTM,990.887.512.226,715.959.425.579,990887512226.0,715959425579.0
Từ các khoản cho vay và phải thu,Từ các khoản cho vay và phải thu,Từ các khoản cho vay và phải thu,677.893.533.729,710.869.164.035,677893533729.0,710869164035.0
Từ tài sản tài chính AFS,Từ tài sản tài chính AFS,Từ tài sản tài chính AFS,29.806.057.516,200.587.941.138,29806057516.0,200587941138.0
"Cổ tức, trái tức phát sinh từ tài sản tài chính AFS","Cổ tức, trái tức phát sinh từ tài sản tài chính AFS","Cổ tức, trái tức phát sinh từ tài sản tài chính AFS",16.679.625.500,28.115.694.500,16679625500.0,28115694500.0
Chênh lệch đánh giá lại theo giá trị hợp lý tài sản tài chính AFS phân loại lại khi bán,Chênh lệch đánh giá lại theo giá trị hợp lý tài sản tài chính AFS phân loại lại khi bán,Chênh lệch đánh giá lại theo giá trị hợp lý tài sản tài chính AFS phân loại lại khi bán,13.126.432.016,172.472.246.638,13126432016.0,172472246638.0
- OPC,- OPC,- OPC,-,79.762.779.371,,79762779371.0
- TMS,- TMS,- TMS,-,54.654.376.391,,54654376391.0
- VEA,- VEA,- VEA,-,25.550.400.000,,25550400000.0
- TDM,- TDM,- TDM,12.905.000.000,-,12905000000.0,
- Khác,- Khác,- Khác,221.432.016,12.504.690.876,221432016.0,12504690876.0
Tổng cộng,Tổng cộng,Tổng cộng,1.780.847.760.248,1.715.770.782.814,1780847760248.0,1715770782814.0
