row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phí),numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phí)
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu năm,Tăng trong năm,Giảm trong năm,Số cuối năm,Doanh thu/ (chi phí),,,,,,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Góp vốn đầu tư,274.400.000.000,-,-,274.400.000.000,-,,274400000000.0,,,274400000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Góp vốn đầu tư,30.000.000.000,-,-,30.000.000.000,-,,30000000000.0,,,30000000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Doanh thu giao dịch và dịch vụ chứng khoán khác,85.267.793,2.521.742.576,(2.499.041.447),107.968.922,2.427.616.843,,85267793.0,2521742576.0,-2499041447.0,107968922.0,2427616843.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Số dư danh mục ủy thác đầu tư,196.151.511.180,10.313.644.943,(5.546.201.497),200.918.954.626,-,,196151511180.0,10313644943.0,-5546201497.0,200918954626.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Các khoản phải trả quỹ phúc lợi và khác,(115.000.000),(1.815.890.000),-,(1.930.890.000),-,,-115000000.0,-1815890000.0,,-1930890000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Chi phí quản lý danh mục,(496.609.963),(5.494.541.501),5.524.781.751,(466.369.713),(5.494.541.501),,-496609963.0,-5494541501.0,5524781751.0,-466369713.0,-5494541501.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Chi phí tư vấn đầu tư chứng khoán,-,(47.750.000),47.750.000,-,(47.750.000),,,-47750000.0,47750000.0,,-47750000.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,225.016.834,(225.016.834),-,225.014.434,,,225016834.0,-225016834.0,,225014434.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Giao dịch bán chứng khoán,-,3.386.471.167.766,(3.386.471.167.766),-,6.513.173.369,,,3386471167766.0,-3386471167766.0,,6513173369.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Giao dịch mua chứng khoán,-,(3.168.935.526.766),3.168.935.526.766,-,-,,,-3168935526766.0,3168935526766.0,,
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Phí tư vấn dịch vụ,-,(154.600.000),154.600.000,-,(263.100.000),,,-154600000.0,154600000.0,,-263100000.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,"Doanh thu tư vấn, dịch vụ",1.787.635.000,5.327.513.975,(4.978.850.500),2.136.298.475,4.843.194.523,,1787635000.0,5327513975.0,-4978850500.0,2136298475.0,4843194523.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Cổ tức SSI,-,(48.194.727.000),48.194.727.000,-,-,,,-48194727000.0,48194727000.0,,
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,853.510.132,(853.510.132),-,776.004.348,,,853510132.0,-853510132.0,,776004348.0
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Phí hoa hồng phải trả,(1.160.510.884),(5.341.350.972),6.060.276.582,(441.585.274),(5.341.350.972),,-1160510884.0,-5341350972.0,6060276582.0,-441585274.0,-5341350972.0
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Doanh thu hợp đồng tư vấn đầu tư,1.312.393.222,17.739.535.107,(16.558.135.056),2.493.793.273,17.270.635.107,,1312393222.0,17739535107.0,-16558135056.0,2493793273.0,17270635107.0
Daiwa Securities Group Inc và các công ty con,Công ty liên quan > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Cổ tức SSI,-,(101.978.121.000),101.978.121.000,-,-,,,-101978121000.0,101978121000.0,,
