row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Chi phí phải trả Sở Giao dịch Chứng khoán và Trung tâm Lưu ký Chứng khoán,Chi phí phải trả Sở Giao dịch Chứng khoán và Trung tâm Lưu ký Chứng khoán,Chi phí phải trả Sở Giao dịch Chứng khoán và Trung tâm Lưu ký Chứng khoán,13.404.933.997,10.236.172.942,13404933997.0,10236172942.0
Chi phí lãi trái phiếu thường,Chi phí lãi trái phiếu thường,Chi phí lãi trái phiếu thường,-,20.969.732.878,,20969732878.0
Chi phí lãi trái phiếu chuyển đổi,Chi phí lãi trái phiếu chuyển đổi,Chi phí lãi trái phiếu chuyển đổi,19.166.666.665,19.038.888.887,19166666665.0,19038888887.0
Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,52.269.483.284,50.361.178.367,52269483284.0,50361178367.0
Phí quản lý danh mục ủy thác phải trả Công ty TNHH Quản lý Quỹ SSI,Phí quản lý danh mục ủy thác phải trả Công ty TNHH Quản lý Quỹ SSI,Phí quản lý danh mục ủy thác phải trả Công ty TNHH Quản lý Quỹ SSI,466.369.713,496.609.963,466369713.0,496609963.0
"Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán, hợp đồng quản lý tiền gửi","Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán, hợp đồng quản lý tiền gửi","Chi phí lãi hợp đồng đặt cọc môi giới chứng khoán, hợp đồng quản lý tiền gửi",918.878.038,4.130.279.305,918878038.0,4130279305.0
Phí dịch vụ,Phí dịch vụ,Phí dịch vụ,495.000.000,715.000.000,495000000.0,715000000.0
Phí hoa hồng phải trả cho đối tác,Phí hoa hồng phải trả cho đối tác,Phí hoa hồng phải trả cho đối tác,6.735.623.994,5.656.129.033,6735623994.0,5656129033.0
Các khoản khác,Các khoản khác,Các khoản khác,744.529.716,180.000.000,744529716.0,180000000.0
Tổng cộng,Tổng cộng,Tổng cộng,94.201.485.407,111.783.991.375,94201485407.0,111783991375.0
