row_label_raw,row_label_full,Các khoản đầu tư nắm giữ đến ngày đáo hạn > - Chứng chỉ tiền gửi có kỳ hạn còn lại trên 1 năm > - Trái phiếu nắm giữ đến ngày đáo hạn (1),Số cuối năm > 3.444.540.512.534 > - > 3.444.540.512.534,Đơn vị tính: VND > Số đầu năm > 301.622.077.596 > -,numeric__Số cuối năm > 3.444.540.512.534 > - > 3.444.540.512.534,numeric__Đơn vị tính: VND > Số đầu năm > 301.622.077.596 > -
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,304.400.000.000,304.400.000.000,304400000000.0,304400000000.0
- Công ty TNHH Quản lý Quỹ SSI,- Công ty TNHH Quản lý Quỹ SSI,- Công ty TNHH Quản lý Quỹ SSI,30.000.000.000,30.000.000.000,30000000000.0,30000000000.0
- Quỹ Đầu tư Thành viên SSI,- Quỹ Đầu tư Thành viên SSI,- Quỹ Đầu tư Thành viên SSI,274.400.000.000,274.400.000.000,274400000000.0,274400000000.0
"Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)",628.602.035.226,607.604.737.476,628602035226.0,607604737476.0
- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),628.602.035.226,607.604.737.476,628602035226.0,607604737476.0
Tổng cộng,Tổng cộng,Tổng cộng,4.377.542.547.760,1.213.626.815.072,4377542547760.0,1213626815072.0
