row_label_raw,row_label_full,Giá trị trái phiếu chuyển đổi phát hành,Số cuối năm > 1.150.000.000.000,Đơn vị tính: VND > Số đầu năm > 1.150.000.000.000,numeric__Số cuối năm > 1.150.000.000.000,numeric__Đơn vị tính: VND > Số đầu năm > 1.150.000.000.000
Cấu phần vốn chủ sở hữu,Cấu phần vốn chủ sở hữu,Cấu phần vốn chủ sở hữu,113.779.095.785,113.779.095.785,113779095785.0,113779095785.0
Cấu phần nợ gốc ghi nhận ban đầu,Cấu phần nợ gốc ghi nhận ban đầu,Cấu phần nợ gốc ghi nhận ban đầu,1.036.220.904.215,1.036.220.904.215,1036220904215.0,1036220904215.0
Giá trị phân bổ lũy kế phần giá trị chiết khấu vàocấu phần nợ gốc,Giá trị phân bổ lũy kế phần giá trị chiết khấu vàocấu phần nợ gốc,Giá trị phân bổ lũy kế phần giá trị chiết khấu vàocấu phần nợ gốc,,,,
Số đầu năm,Giá trị phân bổ lũy kế phần giá trị chiết khấu vàocấu phần nợ gốc > Số đầu năm,Số đầu năm,32.099.487.319,-,32099487319.0,
Số phân bổ tăng trong năm,Giá trị phân bổ lũy kế phần giá trị chiết khấu vàocấu phần nợ gốc > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,37.617.554.636,32.099.487.319,37617554636.0,32099487319.0
Số cuối năm,Giá trị phân bổ lũy kế phần giá trị chiết khấu vàocấu phần nợ gốc > Số cuối năm,Số cuối năm,69.717.041.955,32.099.487.319,69717041955.0,32099487319.0
Cấu phần nợ gốc tại ngày cuối năm,Giá trị phân bổ lũy kế phần giá trị chiết khấu vàocấu phần nợ gốc > Cấu phần nợ gốc tại ngày cuối năm,Cấu phần nợ gốc tại ngày cuối năm,1.105.937.946.170,1.068.320.391.534,1105937946170.0,1068320391534.0
