row_label_raw,row_label_full,Các loại tài sảntài chính,Giá mua/Giá gốc,Chênh lệch đánh giá > Chênh lệch tăng,Chênh lệch đánh giá > Chênh lệch giảm,Giá trị đánh giá lại,Giá mua/Giá gốc_1,Chênh lệch đánh giá > Chênh lệch tăng_1,Chênh lệch đánh giá > Chênh lệch giảm_1,Giá trị đánh giá lại_1,numeric__Giá mua/Giá gốc,numeric__Chênh lệch đánh giá > Chênh lệch tăng,numeric__Chênh lệch đánh giá > Chênh lệch giảm,numeric__Giá trị đánh giá lại,numeric__Giá mua/Giá gốc_1,numeric__Chênh lệch đánh giá > Chênh lệch tăng_1,numeric__Chênh lệch đánh giá > Chênh lệch giảm_1,numeric__Giá trị đánh giá lại_1
FVTPL,FVTPL,FVTPL,4.503.658.322.749,34.102.995.339,(274.150.357.731),4.263.610.960.357,2.271.754.559.266,40.140.631.924,(291.218.449.532),2.020.676.741.658,4503658322749.0,34102995339.0,-274150357731.0,4263610960357.0,2271754559266.0,40140631924.0,-291218449532.0,2020676741658.0
Cổ phiếu vàchứng khoánniêm yết,Cổ phiếu vàchứng khoánniêm yết,Cổ phiếu vàchứng khoánniêm yết,1.623.567.774.767,23.299.629.645,(251.216.173.472),1.395.651.230.940,1.590.440.590.076,28.276.338.474,(266.613.531.440),1.352.103.397.110,1623567774767.0,23299629645.0,-251216173472.0,1395651230940.0,1590440590076.0,28276338474.0,-266613531440.0,1352103397110.0
Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,147.825.259.973,3.718.365.694,(3.377.266.167),148.166.359.500,-,-,-,-,147825259973.0,3718365694.0,-3377266167.0,148166359500.0,,,,
Cổ phiếu vàchứng chỉ quỹchưa niêm yết,Cổ phiếu vàchứng chỉ quỹchưa niêm yết,Cổ phiếu vàchứng chỉ quỹchưa niêm yết,399.114.275.313,7.085.000.000,(19.556.918.092),386.642.357.221,120.582.017.570,11.864.293.450,(19.556.918.092),112.889.392.928,399114275313.0,7085000000.0,-19556918092.0,386642357221.0,120582017570.0,11864293450.0,-19556918092.0,112889392928.0
Trái phiếu vàchứng khoánkhác chưa niêmyết,Trái phiếu vàchứng khoánkhác chưa niêmyết,Trái phiếu vàchứng khoánkhác chưa niêmyết,2.333.151.012.696,-,-,2.333.151.012.696,560.731.951.620,-,(5.048.000.000),555.683.951.620,2333151012696.0,,,2333151012696.0,560731951620.0,,-5048000000.0,555683951620.0
AFS,AFS,AFS,426.279.961.632,354.712.424.223,(22.795.520.351),758.196.865.504,897.201.597.145,311.664.630.114,(13.204.579.959),1.195.661.647.300,426279961632.0,354712424223.0,-22795520351.0,758196865504.0,897201597145.0,311664630114.0,-13204579959.0,1195661647300.0
Cổ phiếu niêmyết,Cổ phiếu niêmyết,Cổ phiếu niêmyết,251.088.814.728,354.712.424.223,(14.697.025.351),591.104.213.600,472.914.050.245,311.664.630.114,(13.204.579.959),771.374.100.400,251088814728.0,354712424223.0,-14697025351.0,591104213600.0,472914050245.0,311664630114.0,-13204579959.0,771374100400.0
Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,175.191.146.904,-,(8.098.495.000),167.092.651.904,385.192.646.900,-,-,385.192.646.900,175191146904.0,,-8098495000.0,167092651904.0,385192646900.0,,,385192646900.0
Trái phiếuchưa niêm yết,Trái phiếuchưa niêm yết,Trái phiếuchưa niêm yết,-,-,-,-,39.094.900.000,-,-,39.094.900.000,,,,,39094900000.0,,,39094900000.0
Tổng công,Tổng công,Tổng công,4.929.938.284.381,388.815.419.562,(296.945.878.082),5.021.807.825.861,3.168.956.156.411,351.805.262.038,(304.423.029.491),3.216.338.388.958,4929938284381.0,388815419562.0,-296945878082.0,5021807825861.0,3168956156411.0,351805262038.0,-304423029491.0,3216338388958.0
