row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Đơn vị tính: VND Tổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm 2019,Nguyên giá > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,155.928.064.957,17.551.416.700,1.041.177.315,174.520.658.972,155928064957.0,17551416700.0,1041177315.0,174520658972.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,30.411.919.747,4.618.228.000,624.290.074,35.654.437.821,30411919747.0,4618228000.0,624290074.0,35654437821.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,30.411.919.747,4.618.228.000,624.290.074,35.654.437.821,30411919747.0,4618228000.0,624290074.0,35654437821.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(4.845.722.528),(552.987.400),-,(5.398.709.928),-4845722528.0,-552987400.0,,-5398709928.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.845.722.528),(552.987.400),-,(5.398.709.928),-4845722528.0,-552987400.0,,-5398709928.0
Ngày 31 tháng 12 năm 2019,Nguyên giá > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,181.494.262.176,21.616.657.300,1.665.467.389,204.776.386.865,181494262176.0,21616657300.0,1665467389.0,204776386865.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm 2019,Giá trị hao mòn lũy kế > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,78.583.761.763,11.674.398.268,183.494.817,90.441.654.848,78583761763.0,11674398268.0,183494817.0,90441654848.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,21.197.390.197,1.587.315.565,386.321.595,23.171.027.357,21197390197.0,1587315565.0,386321595.0,23171027357.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,21.197.390.197,1.587.315.565,386.321.595,23.171.027.357,21197390197.0,1587315565.0,386321595.0,23171027357.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(4.843.840.912),(552.987.400),-,(5.396.828.312),-4843840912.0,-552987400.0,,-5396828312.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.843.840.912),(552.987.400),-,(5.396.828.312),-4843840912.0,-552987400.0,,-5396828312.0
Ngày 31 tháng 12 năm 2019,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,94.937.311.048,12.708.726.433,569.816.412,108.215.853.893,94937311048.0,12708726433.0,569816412.0,108215853893.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2019,Giá trị còn lại > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,77.344.303.194,5.877.018.432,857.682.498,84.079.004.124,77344303194.0,5877018432.0,857682498.0,84079004124.0
Ngày 31 tháng 12 năm 2019,Giá trị còn lại > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,86.556.951.128,8.907.930.867,1.095.650.977,96.560.532.972,86556951128.0,8907930867.0,1095650977.0,96560532972.0
Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,,,,
,,,,Số cuối năm,Số đầu năm,,,,,
Nguyên giá TSCĐ hữu hình đã hao mòn hết nhưng vẫn còn sử dụng,Các thông tin khác về tài sản cố định hữu hình: > Nguyên giá TSCĐ hữu hình đã hao mòn hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ hữu hình đã hao mòn hết nhưng vẫn còn sử dụng,,66.236.071.692,61.353.643.773,,,66236071692.0,61353643773.0,
