row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Giá bán bình quân VND/đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lãi bán chứng khoán năm nay VND,Lãi bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Giá bán bình quân VND/đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lãi bán chứng khoán năm nay VND,numeric__Lãi bán chứng khoán năm trước VND
1,1,1,LÃI BÁN,LÃI BÁN,LÃI BÁN,LÃI BÁN,LÃI BÁN,LÃI BÁN,LÃI BÁN,,,,,,,
1,1 > 1,1,Cổ phiếu và chứng khoán niêm yết,60.654.747,,1.596.340.698.616,1.438.416.738.326,157.923.960.290,233.767.371.039,,60654747.0,,1596340698616.0,1438416738326.0,157923960290.0,233767371039.0
1,1 > 1,1,TMS,6.558.473,33.074,216.915.278.560,164.648.051.859,52.267.226.701,-,,6558473.0,33074.0,216915278560.0,164648051859.0,52267226701.0,
1,1 > 1,1,FPT,4.988.150,55.021,274.452.451.000,236.290.310.346,38.162.140.654,263.765.042,,4988150.0,55021.0,274452451000.0,236290310346.0,38162140654.0,263765042.0
1,1 > 1,1,MBB,9.375.900,22.515,211.097.180.500,196.259.557.864,14.837.622.636,439.479.292,,9375900.0,22515.0,211097180500.0,196259557864.0,14837622636.0,439479292.0
1,1 > 1,1,MWG,1.124.850,117.753,132.454.177.000,122.660.001.301,9.794.175.699,234.966,,1124850.0,117753.0,132454177000.0,122660001301.0,9794175699.0,234966.0
1,1 > 1,1,PLX,1.868.300,58.394,109.096.928.000,104.190.357.391,4.906.570.609,141.348.397.163,,1868300.0,58394.0,109096928000.0,104190357391.0,4906570609.0,141348397163.0
1,1 > 1,1,FUESSV50,2.354.700,13.047,30.720.830.700,25.950.958.378,4.769.872.322,2.392.377.042,,2354700.0,13047.0,30720830700.0,25950958378.0,4769872322.0,2392377042.0
1,1 > 1,1,Cổ phiếu niêm yết khác,34.384.374,,621.603.852.856,588.417.501.187,33.186.351.669,89.323.117.534,,34384374.0,,621603852856.0,588417501187.0,33186351669.0,89323117534.0
2,1 > 2,2,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,17.018.592,,180.397.250.784,140.552.423.682,39.844.827.102,4.020.000.000,,17018592.0,,180397250784.0,140552423682.0,39844827102.0,4020000000.0
2,1 > 2,2,SSISCA,1.945.992,18.255,35.523.564.384,26.500.000.000,9.023.564.384,-,,1945992.0,18255.0,35523564384.0,26500000000.0,9023564384.0,
2,1 > 2,2,Cổ phiếu chưa niêm yết khác,15.072.600,,144.873.686.400,114.052.423.682,30.821.262.718,4.020.000.000,,15072600.0,,144873686400.0,114052423682.0,30821262718.0,4020000000.0
3,1 > 3,3,Trái phiếu niêm yết,56.306.886,,6.271.271.962.364,6.249.862.532.983,21.409.429.381,30.336.827.273,,56306886.0,,6271271962364.0,6249862532983.0,21409429381.0,30336827273.0
3,1 > 3,3,TP_TD1828120,1.500.000,108.319,162.478.500.000,159.034.500.000,3.444.000.000,-,,1500000.0,108319.0,162478500000.0,159034500000.0,3444000000.0,
3,1 > 3,3,TP_TD1424093,1.500.000,123.371,185.056.500.000,182.752.500.000,2.304.000.000,-,,1500000.0,123371.0,185056500000.0,182752500000.0,2304000000.0,
3,1 > 3,3,TP_TD1929178,1.500.000,101.559,152.338.500.000,150.034.500.000,2.304.000.000,-,,1500000.0,101559.0,152338500000.0,150034500000.0,2304000000.0,
3,1 > 3,3,TP_TD1636502,2.000.000,134.577,269.153.000.000,267.329.000.000,1.824.000.000,1.960.000.000,,2000000.0,134577.0,269153000000.0,267329000000.0,1824000000.0,1960000000.0
3,1 > 3,3,Trái phiếu niêm yết khác,49.806.886,,5.502.245.462.364,5.490.712.032.983,11.533.429.381,28.376.827.273,,49806886.0,,5502245462364.0,5490712032983.0,11533429381.0,28376827273.0
4,1 > 4,4,Trái phiếu và chứng khoán chưa niêm yết,24.833.650,,40.785.930.766.904,40.680.836.926.315,105.093.840.589,40.653.184.272,,24833650.0,,40785930766904.0,40680836926315.0,105093840589.0,40653184272.0
4,1 > 4,4,TP_MB.2018.7Y.02,13.000,103.596.651,1.346.756.465.000,1.329.961.559.364,16.794.905.636,700.686.000,,13000.0,103596651.0,1346756465000.0,1329961559364.0,16794905636.0,700686000.0
4,1 > 4,4,TP_MB.BOND.2017.7Y.14,33.020,103.065.205,3.403.213.059.260,3.392.106.853.370,11.106.205.890,21.096.000.000,,33020.0,103065205.0,3403213059260.0,3392106853370.0,11106205890.0,21096000000.0
4,1 > 4,4,TP_VNCMBOND14_19,500,1.000.000.000,500.000.000.000,488.284.947.175,11.715.052.825,709.493.113,,500.0,1000000000.0,500000000000.0,488284947175.0,11715052825.0,709493113.0
4,1 > 4,4,Trái phiếu và chứng khoán chưa niêm yết khác,24.787.130,,35.535.961.242.644,35.470.483.566.406,65.477.676.238,18.147.005.159,,24787130.0,,35535961242644.0,35470483566406.0,65477676238.0,18147005159.0
5,1 > 5,5,Lãi vị thế của hợp đồng CKPS,,,,,17.574.919.000,3.747.190.000,,,,,,17574919000.0,3747190000.0
5,1 > 5,5,Tổng công,158.813.875,,48.833.940.678.668,48.509.668.621.306,341.846.976.362,312.524.572.584,,158813875.0,,48833940678668.0,48509668621306.0,341846976362.0,312524572584.0
