row_label_raw,row_label_full,col_0,Đơn vị tính: cổ phiếu > Số cuối năm,Đơn vị tính: cổ phiếu > Số đầu năm,numeric__Đơn vị tính: cổ phiếu > Số cuối năm,numeric__Đơn vị tính: cổ phiếu > Số đầu năm
Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,510.063.684,510.063.684,510063684.0,510063684.0
Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,510.063.684,510.063.684,510063684.0,510063684.0
Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,Số lượng cổ phiếu đã phát hành và được góp vốn đầy đủ,510.063.684,510.063.684,510063684.0,510063684.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,510.063.684,510.063.684,510063684.0,510063684.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu quỹ,- Cổ phiếu ưu đãi > Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,(2.009.008),(893.377),-2009008.0,-893377.0
Cổ phiếu quỹ do Công ty nằm giữ,- Cổ phiếu ưu đãi > Cổ phiếu quỹ do Công ty nằm giữ,Cổ phiếu quỹ do Công ty nằm giữ,(2.009.008),(893.377),-2009008.0,-893377.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,(2.009.008),(893.377),-2009008.0,-893377.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,508.054.676,509.170.307,508054676.0,509170307.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,508.054.676,509.170.307,508054676.0,509170307.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
