row_label_raw,row_label_full,Giá trịphải thu khó đòiđầu năm,Số dự phòng đầu năm,Số trích lậptrong năm,Số hoàn nhập/xử lý nợ trong năm,Số dự phòngcuối năm,Đơn vị tính: VNDGiá trịphải thu khó đòicuối năm,numeric__Số dự phòng đầu năm,numeric__Số trích lậptrong năm,numeric__Số hoàn nhập/xử lý nợ trong năm,numeric__Số dự phòngcuối năm,numeric__Đơn vị tính: VNDGiá trịphải thu khó đòicuối năm
299.429.263.720,299.429.263.720,299.429.263.720,299.429.263.720,-,(2.531.847.570),296.897.416.150,296.897.416.150,299429263720.0,,-2531847570.0,296897416150.0,296897416150.0
2.531.847.570,2.531.847.570,2.531.847.570,2.531.847.570,-,(2.531.847.570),-,-,2531847570.0,,-2531847570.0,,
296.897.416.150,296.897.416.150,296.897.416.150,296.897.416.150,-,-,296.897.416.150,296.897.416.150,296897416150.0,,,296897416150.0,296897416150.0
12.087.959.417,12.087.959.417,12.087.959.417,12.087.959.417,5.000.000,(1.105.000.000),10.987.959.417,10.992.959.417,12087959417.0,5000000.0,-1105000000.0,10987959417.0,10992959417.0
525.000.000,525.000.000,525.000.000,525.000.000,-,(525.000.000),-,-,525000000.0,,-525000000.0,,
80.000.000,80.000.000,80.000.000,80.000.000,-,(80.000.000),-,-,80000000.0,,-80000000.0,,
80.000.000,80.000.000,80.000.000,80.000.000,-,(80.000.000),-,-,80000000.0,,-80000000.0,,
270.000.000,270.000.000,270.000.000,270.000.000,-,(270.000.000),-,-,270000000.0,,-270000000.0,,
150.000.000,150.000.000,150.000.000,150.000.000,-,(150.000.000),-,-,150000000.0,,-150000000.0,,
-,-,-,-,5.000.000,-,5.000.000,10.000.000,,5000000.0,,5000000.0,10000000.0
10.982.959.417,10.982.959.417,10.982.959.417,10.982.959.417,-,-,10.982.959.417,10.982.959.417,10982959417.0,,,10982959417.0,10982959417.0
521.517.477,521.517.477,521.517.477,521.517.477,-,(133.000.000),388.517.477,388.517.477,521517477.0,,-133000000.0,388517477.0,388517477.0
309.521.422,309.521.422,309.521.422,309.521.422,-,-,309.521.422,309.521.422,309521422.0,,,309521422.0,309521422.0
133.000.000,133.000.000,133.000.000,133.000.000,-,(133.000.000),-,-,133000000.0,,-133000000.0,,
78.996.055,78.996.055,78.996.055,78.996.055,-,-,78.996.055,78.996.055,78996055.0,,,78996055.0,78996055.0
312.038.740.614,312.038.740.614,312.038.740.614,312.038.740.614,5.000.000,(3.769.847.570),308.273.893.044,308.278.893.044,312038740614.0,5000000.0,-3769847570.0,308273893044.0,308278893044.0
