row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá trị hợp lý,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại đầu năm,Đơn vị tính: VND Chênh lệch thuần điều chỉnh số kế toán trong năm,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá trị hợp lý,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại đầu năm,numeric__Đơn vị tính: VND Chênh lệch thuần điều chỉnh số kế toán trong năm
I,I,I,Loại FVTPL,,,,,,,,,,,
3,I > 3,3,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,399.114.275.313,386.642.357.221,(12.471.918.092),(7.692.624.642),(4.779.293.450),,399114275313.0,386642357221.0,-12471918092.0,-7692624642.0,-4779293450.0
4,I > 4,4,Trái phiếu và chứng khoán khác chưa niêm yết,2.333.151.012.696,2.333.151.012.696,-,(5.048.000.000),5.048.000.000,,2333151012696.0,2333151012696.0,,-5048000000.0,5048000000.0
II,I > II,II,Loại AFS,426.279.961.632,758.196.865.504,331.916.903.872,298.460.050.155,33.456.853.717,,426279961632.0,758196865504.0,331916903872.0,298460050155.0,33456853717.0
1,I > 1,1,Cổ phiếu niêm yết,251.088.814.728,591.104.213.600,340.015.398.872,298.460.050.155,41.555.348.717,,251088814728.0,591104213600.0,340015398872.0,298460050155.0,41555348717.0
1,I > 1,1,SGN,172.712.731.397,447.423.470.000,274.710.738.603,276.147.143.599,(1.436.404.996),,172712731397.0,447423470000.0,274710738603.0,276147143599.0,-1436404996.0
1,I > 1,1,HAH,26.089.965.620,11.392.969.200,(14.696.996.420),(13.110.644.620),(1.586.351.800),,26089965620.0,11392969200.0,-14696996420.0,-13110644620.0,-1586351800.0
1,I > 1,1,Cổ phiếu niêm yết khác,52.286.117.711,132.287.774.400,80.001.656.689,35.423.551.176,44.578.105.513,,52286117711.0,132287774400.0,80001656689.0,35423551176.0,44578105513.0
2,I > 2,2,Cổ phiếu chưa niêm yết,175.191.146.904,167.092.651.904,(8.098.495.000),-,(8.098.495.000),,175191146904.0,167092651904.0,-8098495000.0,,-8098495000.0
2,I > 2,2,Tổng cộng,4.929.938.284.381,5.021.807.825.861,91.869.541.480,47.382.232.547,44.487.308.933,,4929938284381.0,5021807825861.0,91869541480.0,47382232547.0,44487308933.0
