row_label_raw,row_label_full,Năm 2024Triệu VND,Hoạt độngngân hàng,Hoạt độngcông tytài chính,Hoạt độngquản lý nợvà khai tháctài sản,Loại trừ cácgiao dịchnội bộ khihợp nhất,Hợp nhất,numeric__Hoạt độngngân hàng,numeric__Hoạt độngcông tytài chính,numeric__Hoạt độngquản lý nợvà khai tháctài sản,numeric__Loại trừ cácgiao dịchnội bộ khihợp nhất,numeric__Hợp nhất
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
Thu nhập lãi và các khoảnthu nhập tương tự,Doanh thu > Thu nhập lãi và các khoảnthu nhập tương tự,Thu nhập lãi và các khoảnthu nhập tương tự,19.629.730,1.213.507,23.865,(150.497),20.716.605,19629730.0,1213507.0,23865.0,-150497.0,20716605.0
Thu nhập từ hoạt độngdịch vụ,Doanh thu > Thu nhập từ hoạt độngdịch vụ,Thu nhập từ hoạt độngdịch vụ,1.297.718,21.542,34.071,(4.048),1.349.283,1297718.0,21542.0,34071.0,-4048.0,1349283.0
Thu nhập từ các hoạt độngkhác,Doanh thu > Thu nhập từ các hoạt độngkhác,Thu nhập từ các hoạt độngkhác,4.590.055,14.374,2.346,-,4.606.775,4590055.0,14374.0,2346.0,,4606775.0
,,,25.517.503,1.249.423,60.282,(154.545),26.672.663,25517503.0,1249423.0,60282.0,-154545.0,26672663.0
Chi phí,Chi phí,Chi phí,,,,,,,,,,
Chi phí lãi và các chi phítrương tự,Chi phí > Chi phí lãi và các chi phítrương tự,Chi phí lãi và các chi phítrương tự,10.771.932,128.569,191,(150.497),10.750.195,10771932.0,128569.0,191.0,-150497.0,10750195.0
Chi phí hoạt động dịch vụ,Chi phí > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,221.072,1.326,15.190,-,237.588,221072.0,1326.0,15190.0,,237588.0
Chi phí liên quan trực tiếpđến hoạt động kinh doanh,Chi phí > Chi phí liên quan trực tiếpđến hoạt động kinh doanh,Chi phí liên quan trực tiếpđến hoạt động kinh doanh,3.272.485,1.190,2.206,-,3.275.881,3272485.0,1190.0,2206.0,,3275881.0
Chi phí hoạt động,Chi phí > Chi phí hoạt động,Chi phí hoạt động,3.827.587,227.261,8.212,67.158,4.130.218,3827587.0,227261.0,8212.0,67158.0,4130218.0
,,,18.093.076,358.346,25.799,(83.339),18.393.882,18093076.0,358346.0,25799.0,-83339.0,18393882.0
Lợi nhuận thuần từ hoạtđộng kinh doanh trước chiphí dự phòng rủi ro tín dụng,Chi phí > Lợi nhuận thuần từ hoạtđộng kinh doanh trước chiphí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạtđộng kinh doanh trước chiphí dự phòng rủi ro tín dụng,7.424.427,891.077,34.483,(71.206),8.278.781,7424427.0,891077.0,34483.0,-71206.0,8278781.0
Chi phí dự phòng rủi rotín dụng,Chi phí > Chi phí dự phòng rủi rotín dụng,Chi phí dự phòng rủi rotín dụng,1.514.956,724.426,-,-,2.239.382,1514956.0,724426.0,,,2239382.0
Kết quả kinh doanhbộ phận,Chi phí > Kết quả kinh doanhbộ phận,Kết quả kinh doanhbộ phận,5.909.471,166.651,34.483,(71.206),6.039.399,5909471.0,166651.0,34483.0,-71206.0,6039399.0
Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,963.692,-,31,-,963.723,963692.0,,31.0,,963723.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,1.364.327,2.703,-,-,1.367.030,1364327.0,2703.0,,,1367030.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,324.409.727,4.605.197,1.169.397,(6.816.226),323.368.095,324409727.0,4605197.0,1169397.0,-6816226.0,323368095.0
,,,326.737.746,4.607.900,1.169.428,(6.816.226),325.698.848,326737746.0,4607900.0,1169428.0,-6816226.0,325698848.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủvà NHNNVN,Nợ phải trả > Các khoản nợ Chính phủvà NHNNVN,Các khoản nợ Chính phủvà NHNNVN,2.064.483,-,-,-,2.064.483,2064483.0,,,,2064483.0
Tiền gửi và vay các TCTDKhác,Nợ phải trả > Tiền gửi và vay các TCTDKhác,Tiền gửi và vay các TCTDKhác,85.907.868,3.130.000,-,(3.734.217),85.303.651,85907868.0,3130000.0,,-3734217.0,85303651.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,168.846.121,147,-,(526.104),168.320.164,168846121.0,147.0,,-526104.0,168320164.0
Các công cụ tài chínhphái sinh và các khoản nợtài chính khác,Nợ phải trả > Các công cụ tài chínhphái sinh và các khoản nợtài chính khác,Các công cụ tài chínhphái sinh và các khoản nợtài chính khác,303.574,-,-,-,303.574,303574.0,,,,303574.0
"Vốn tài trợ, ủy thác đầu tư","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư","Vốn tài trợ, ủy thác đầu tư",-,1.020,-,-,1.020,,1020.0,,,1020.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,30.450.200,-,-,-,30.450.200,30450200.0,,,,30450200.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,4.209.202,46.022,60.604,(62.927),4.252.901,4209202.0,46022.0,60604.0,-62927.0,4252901.0
,,,291.781.448,3.177.189,60.604,(4.323.248),290.695.993,291781448.0,3177189.0,60604.0,-4323248.0,290695993.0
