row_label_raw,row_label_full,STT,CHỈ TIÊU,Năm 2024Triệu VND,Năm 2023Triệu VND,numeric__CHỈ TIÊU,numeric__Năm 2024Triệu VND,numeric__Năm 2023Triệu VND
,,,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01.,01.,01.,Mua sắm tài sản cố định,(236.866),(310.061),,-236866.0,-310061.0
02.,02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",423,29,,423.0,29.0
05.,05.,05.,"Tiền thu từ bán, thanh lý bắt động sản đầu tư",8.403,5.276,,8403.0,5276.0
09.,09.,09.,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",1.445,14.384,,1445.0,14384.0
II.,II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(226.595),(290.372),,-226595.0,-290372.0
,,,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,01.,01.,Tăng vốn cổ phần từ phát hành cổ phiếu,-,504.000,,,504000.0
III.,III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,-,504.000,,,504000.0
IV.,IV.,IV.,Lưu chuyển tiền thuần trong năm,32.723.876,(2.867.905),,32723876.0,-2867905.0
V.,V.,V.,Tiền và các khoản tương đương tiền đầu năm,49.459.218,52.327.123,,49459218.0,52327123.0
VII.,VII.,VII.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh VI.32 ),82.183.094,49.459.218,,82183094.0,49459218.0
