row_label_raw,row_label_full,Tại ngày 31/12/2024,Tại ngày 31/12/2024_1,Tại ngày 31/12/2024_2,Tại ngày 31/12/2024_3,Tại ngày 31/12/2024_4,numeric__Tại ngày 31/12/2024_1,numeric__Tại ngày 31/12/2024_2,numeric__Tại ngày 31/12/2024_3,numeric__Tại ngày 31/12/2024_4
,,,Chưa quá hạn và chưa phải lập dự phòng Triệu VND,Đã quá hạn nhưng chưa phải lập dự phòng Triệu VND,Đã lập dự phòng Triệu VND,Tổng cộng Triệu VND,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,11.299.668,-,-,11.299.668,11299668.0,,,11299668.0
Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,70.243.963,-,-,70.243.963,70243963.0,,,70243963.0
Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,8.868.966,-,-,8.868.966,8868966.0,,,8868966.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,201.933.283,2.202.819,5.218.541,209.354.643,201933283.0,2202819.0,5218541.0,209354643.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,19.550.401,-,350.458,19.900.859,19550401.0,,350458.0,19900859.0
Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,4.755.149,-,29.277,4.784.426,4755149.0,,29277.0,4784426.0
,,,316.651.430,2.202.819,5.598.276,324.452.525,316651430.0,2202819.0,5598276.0,324452525.0
Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,,,,
,,,Chưa quá hạn và chưa phải lập dự phòng Triệu VND,Đã quá hạn nhưng chưa phải lập dự phòng Triệu VND,Đã lập dự phòng Triệu VND,Tổng cộng Triệu VND,,,,
Tiền gửi tại NHNNVN,Tại ngày 31/12/2023 > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.799.895,-,-,2.799.895,2799895.0,,,2799895.0
Tiền gửi và cho vay các TCTD khác - gộp,Tại ngày 31/12/2023 > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,48.698.574,-,-,48.698.574,48698574.0,,,48698574.0
Chứng khoán kinh doanh - gộp,Tại ngày 31/12/2023 > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,8.353.236,-,-,8.353.236,8353236.0,,,8353236.0
Cho vay khách hàng - gộp,Tại ngày 31/12/2023 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,171.619.510,1.789.943,6.342.440,179.751.893,171619510.0,1789943.0,6342440.0,179751893.0
Chứng khoán đầu tư - gộp,Tại ngày 31/12/2023 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,13.953.491,-,350.458,14.303.949,13953491.0,,350458.0,14303949.0
Tài sản tài chính khác - gộp,Tại ngày 31/12/2023 > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,10.381.712,-,30.003,10.411.715,10381712.0,,30003.0,10411715.0
,,,255.806.418,1.789.943,6.722.901,264.319.262,255806418.0,1789943.0,6722901.0,264319262.0
