row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,384.373,558.122,13.446,955.941,384373.0,558122.0,13446.0,955941.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,156.362,50.898,-,207.260,156362.0,50898.0,,207260.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,540.735,609.020,13.446,1.163.201,540735.0,609020.0,13446.0,1163201.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,g228.903,9.005,237.908,,,9005.0,237908.0
Khẩu hao trong năm,Giá trị hao mòn luỹ kế > Khẩu hao trong năm,Khẩu hao trong năm,-,45.383,1.345,46.728,,45383.0,1345.0,46728.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,274.286,10.350,284.636,,274286.0,10350.0,284636.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,384.373,329.219,4.441,718.033,384373.0,329219.0,4441.0,718033.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,540.735,334.734,3.096,878.565,540735.0,334734.0,3096.0,878565.0
