row_label_raw,row_label_full,Tại ngày 31/12/2024(Triệu VND),Quá hạn,Không nhạy cảm lãi suất,Dưới 1 tháng,Từ 1-3 tháng,Từ trên 3-6 tháng,Từ trên 6-12 tháng,Từ trên 1-5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không nhạy cảm lãi suất,numeric__Dưới 1 tháng,numeric__Từ 1-3 tháng,numeric__Từ trên 3-6 tháng,numeric__Từ trên 6-12 tháng,numeric__Từ trên 1-5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,-,963.723,-,-,-,-,-,-,963.723,,963723.0,,,,,,,963723.0
Tiền gửi tại NHNNVN,Tải sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,11.299.668,-,-,-,-,-,-,11.299.668,,11299668.0,,,,,,,11299668.0
Tiền gửi và cho vay các TCTD khác - gộp,Tải sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,34.776.995,26.104.448,7.362.520,-,2.000.000,-,-,70.243.963,,34776995.0,26104448.0,7362520.0,,2000000.0,,,70243963.0
Chứng khoán kinh doanh - gộp,Tải sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,8.868.966,-,-,-,-,-,8.868.966,,,8868966.0,,,,,,8868966.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,5.318.268,-,71.025.597,56.742.332,50.609.714,18.753.044,6.489.408,416.280,209.354.643,5318268.0,,71025597.0,56742332.0,50609714.0,18753044.0,6489408.0,416280.0,209354643.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,350.458,82.054,2.000.000,525.795,300.199,100.000,2.677.530,13.946.877,19.982.913,350458.0,82054.0,2000000.0,525795.0,300199.0,100000.0,2677530.0,13946877.0,19982913.0
"Góp vốn, đầu tư dài hạn - gộp","Tải sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,62.432,-,-,-,-,-,-,62.432,,62432.0,,,,,,,62432.0
Tài sản cố định và bất động sản đầu tư,Tải sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,1.421.040,-,-,-,-,-,-,1.421.040,,1421040.0,,,,,,,1421040.0
Tài sản Có khác - gộp,Tải sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,7.165.281,-,-,-,-,-,-,7.165.281,,7165281.0,,,,,,,7165281.0
Tổng tài sản (1),Tải sản > Tổng tài sản (1),Tổng tài sản (1),5.668.726,55.771.193,107.999.011,64.630.647,50.909.913,20.853.044,9.166.938,14.363.157,329.362.629,5668726.0,55771193.0,107999011.0,64630647.0,50909913.0,20853044.0,9166938.0,14363157.0,329362629.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,-,2.113,68.086,1.994.284,-,-,2.064.483,,,,2113.0,68086.0,1994284.0,,,2064483.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,26.964.080,21.359.184,16.184.833,1.576.620,6.010.414,11.303.445,1.905.075,85.303.651,,26964080.0,21359184.0,16184833.0,1576620.0,6010414.0,11303445.0,1905075.0,85303651.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,31.875.147,40.965.795,46.917.333,41.215.828,7.345.514,547,168.320.164,,,31875147.0,40965795.0,46917333.0,41215828.0,7345514.0,547.0,168320164.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,128.378,314,1.688,-,-,173.194,-,303.574,,128378.0,314.0,1688.0,,,173194.0,,303574.0
