row_label_raw,row_label_full,STT,CHỈ TIÊU,Năm 2024Triệu VND,Năm 2023Triệu VND,numeric__CHỈ TIÊU,numeric__Năm 2024Triệu VND,numeric__Năm 2023Triệu VND
,,,LU'U CHUYỀN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYỀN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYỀN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,,,
01.,01.,01.,Thu nhập lãi và các khoản thu nhập tương tự nhận được,21.453.849,18.993.726,,21453849.0,18993726.0
02.,02.,02.,Chi phí lãi và các chi phí tương tự đã trả,(11.571.384),(12.604.135),,-11571384.0,-12604135.0
03.,03.,03.,Thu nhập thuần từ hoạt động dịch vụ nhận được,1.109.034,1.306.486,,1109034.0,1306486.0
04.,04.,04.,Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh ngoại hối và chứng khoán,973.318,919.730,,973318.0,919730.0
05.,05.,05.,Thu nhập khác,16.762,107.608,,16762.0,107608.0
06.,06.,06.,"Tiền thu các khoản nợ đã được xử lý xoá, bù đắp bằng nguồn rủi ro",592.417,83.083,,592417.0,83083.0
07.,07.,07.,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",(3.990.812),(3.479.815),,-3990812.0,-3479815.0
08.,08.,08.,Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,(966.506),(794.401),,-966506.0,-794401.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và nợ hoạt động,7.616.678,4.532.282,,7616678.0,4532282.0
,,,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09.,09.,09.,Biến động các khoản tiền gửi và cho vay các TCTD khác,566.290,715.395,,566290.0,715395.0
10.,10.,10.,Biến động các khoản về kinh doanh chứng khoán,(4.112.640),(10.085.392),,-4112640.0,-10085392.0
11.,11.,11.,Biến động các khoản cho vay khách hàng,(29.602.750),(25.795.901),,-29602750.0,-25795901.0
12.,12.,12.,"Sử dụng nguồn dự phòng để xử lý rủi ro, xử lý, bù đắp tồn thất các khoản",(1.935.968),(655.275),,-1935968.0,-655275.0
13.,13.,13.,Biến động khác về tài sản hoạt động,5.093.622,(2.122.044),,5093622.0,-2122044.0
,,,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
14.,14.,14.,Biến động các khoản nợ Chính phủ và NHNNVN,(474.154),(1.300.059),,-474154.0,-1300059.0
15.,15.,15.,Biến động các khoản tiền gửi và vay các TCTD khác,18.605.613,6.978.411,,18605613.0,6978411.0
16.,16.,16.,Biến động các công cụ tài chính phải sinh và các nợ phải trả tài chính khác,196.443,92.168,,196443.0,92168.0
17.,17.,17.,Biến động tiền gửi của khách hàng,23.480.158,29.292.735,,23480158.0,29292735.0
18.,18.,18.,Biến động phát hành giấy tờ có giá,13.604.100,(4.658.500),,13604100.0,-4658500.0
20.,20.,20.,Biến động khác về công nợ hoạt động,(86.921),(75.353),,-86921.0,-75353.0
I.,I.,I.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,32.950.471,(3.081.533),,32950471.0,-3081533.0
