row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,"Nhà cửa,vật kiến trúcTriệu VND",Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,21.912,42.554,64.466,21912.0,42554.0,64466.0
Số tăng trong năm,Nguyên giá > Số tăng trong năm,Số tăng trong năm,3.613,3,3.616,3613.0,3.0,3616.0
Số giảm trong năm,Nguyên giá > Số giảm trong năm,Số giảm trong năm,(3.905),-,(3.905),-3905.0,,-3905.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,21.620,42.557,64.177,21620.0,42557.0,64177.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,6.419,6.419,,6419.0,6419.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,-,1.174,1.174,,1174.0,1174.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,7.593,7.593,,7593.0,7593.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,21.912,36.135,58.047,21912.0,36135.0,58047.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,21.620,34.964,56.584,21620.0,34964.0,56584.0
