row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ dự trữ bổsung vốn điều lệTriệu VND,Lợi nhuậnchưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Quỹ dự trữ bổsung vốn điều lệTriệu VND,numeric__Lợi nhuậnchưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,24.957.000,106.167,1.318.509,396.830,3.518.333,30.296.839,24957000.0,106167.0,1318509.0,396830.0,3518333.0,30296839.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.816.026,4.816.026,,,,,4816026.0,4816026.0
Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,3.290.000,-,-,-,(3.290.000),-,3290000.0,,,,-3290000.0,
Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,103.000,(103.000),-,-,-,-,103000.0,-103000.0,,,,
Trích quỹ dự trữ bắt buộc trong năm,Trích quỹ dự trữ bắt buộc trong năm,Trích quỹ dự trữ bắt buộc trong năm,-,-,475.466,475.466,(950.932),-,,,475466.0,475466.0,-950932.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(110.010),(110.010),,,,,-110010.0,-110010.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,28.350.000,3.167,1.793.975,872.296,3.983.417,35.002.855,28350000.0,3167.0,1793975.0,872296.0,3983417.0,35002855.0
Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,,,,,,
,,,Vốn điều lệTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ dự trữ bổsung vốn điều lệTriệu VND,Lợi nhuậnchưa phân phốiTriệu VND,Tổng cộngTriệu VND,,,,,,
Số dư tại ngày 1/1/2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,20.402.983,1.204.184,945.594,210.373,3.469.086,26.232.220,20402983.0,1204184.0,945594.0,210373.0,3469086.0,26232220.0
Lợi nhuận thuần trong năm,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,3.676.955,3.676.955,,,,,3676955.0,3676955.0
Tăng vốn từ phát hành cổ phiếu theochương trình lựa chọn cho người lao động,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Tăng vốn từ phát hành cổ phiếu theochương trình lựa chọn cho người lao động,Tăng vốn từ phát hành cổ phiếu theochương trình lựa chọn cho người lao động,420.000,84.000,-,-,-,504.000,420000.0,84000.0,,,,504000.0
Phát hành cổ phiếu để trả cổ tức,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,2.952.000,-,-,-,(2.952.000),-,2952000.0,,,,-2952000.0,
Tăng vốn từ nguồn thẳng dư vốn cổ phần,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,1.182.017,(1.182.017),-,-,-,-,1182017.0,-1182017.0,,,,
Trích quỹ dự trữ bắt buộc trong năm,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Trích quỹ dự trữ bắt buộc trong năm,Trích quỹ dự trữ bắt buộc trong năm,-,-,372.915,186.457,(559.372),-,,,372915.0,186457.0,-559372.0,
"Trích quỹ khen thưởng, phúc lợi","Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(116.336),(116.336),,,,,-116336.0,-116336.0
Số dư tại ngày 31/12/2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,24.957.000,106.167,1.318.509,396.830,3.518.333,30.296.839,24957000.0,106167.0,1318509.0,396830.0,3518333.0,30296839.0
