row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2024Triệu VND,31/12/2023Triệu VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,VI.1,963.723,851.299,,,963723.0,851299.0
II,A > II,II,"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNNVN"")",VI.2,11.299.668,2.799.895,,,11299668.0,2799895.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",VI.3,70.243.963,48.698.574,,,70243963.0,48698574.0
1,A > 1,1,Tiền gửi tại các TCTD khác,,67.919.703,45.808.024,,,67919703.0,45808024.0
2,A > 2,2,Cho vay các TCTD khác,,2.324.260,2.890.550,,,2324260.0,2890550.0
IV,A > IV,IV,Chứng khoán kinh doanh,VI.4,8.866.716,8.353.236,,,8866716.0,8353236.0
1,A > 1,1,Chứng khoán kinh doanh,,8.868.966,8.353.236,,,8868966.0,8353236.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(2.250),-,,,-2250.0,
VI,A > VI,VI,Cho vay khách hàng,,206.073.210,176.773.874,,,206073210.0,176773874.0
1,A > 1,1,Cho vay khách hàng,VI.5,209.354.643,179.751.893,,,209354643.0,179751893.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,VI.6,(3.281.433),(2.978.019),,,-3281433.0,-2978019.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,19.632.455,14.286.766,,,19632455.0,14286766.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,VI.7a,17.555.894,14.035.545,,,17555894.0,14035545.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,VI.7b,2.427.019,350.458,,,2427019.0,350458.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,VI.7c,(350.458),(99.237),,,-350458.0,-99237.0
IX,A > IX,IX,"Gớp vốn, đầu tư dài hạn",VI.8,62.069,61.892,,,62069.0,61892.0
4,A > 4,4,Đầu tư dài hạn khác,,62.432,62.432,,,62432.0,62432.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(363),(540),,,-363.0,-540.0
X,A > X,X,"Tài sản cố định (""TSCĐ"")",,1.367.030,1.269.298,,,1367030.0,1269298.0
1,A > 1,1,Tài sản cố định hữu hình,VI.9,488.465,551.265,,,488465.0,551265.0
,,,- Nguyên giá TSCĐ,,1.091.952,1.082.873,,,1091952.0,1082873.0
,,,- Hao mòn TSCĐ,,(603.487),(531.608),,,-603487.0,-531608.0
3,A > 3,3,Tài sản cố định vô hình,VI.10,878.565,718.033,,,878565.0,718033.0
,,,- Nguyên giá TSCĐ,,1.163.201,955.941,,,1163201.0,955941.0
,,,- Hao mòn TSCĐ,,(284.636),(237.908),,,-284636.0,-237908.0
XI,A > XI,XI,"Bất động sản đầu tư (""BĐSĐT"")",VI.11,54.010,56.584,,,54010.0,56584.0
,,,- Nguyên giá BĐSĐT,,62.778,64.177,,,62778.0,64177.0
,,,- Hao mòn BĐSĐT,,(8.768),(7.593),,,-8768.0,-7593.0
XII,A > XII,XII,Tài sản Có khác,VI.12,7.136.004,12.970.497,,,7136004.0,12970497.0
1,A > 1,1,Các khoản phải thu,,2.202.813,7.092.858,,,2202813.0,7092858.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,2.581.613,3.318.857,,,2581613.0,3318857.0
4,A > 4,4,Tài sản Có khác,,2.380.855,2.588.785,,,2380855.0,2588785.0
,,,- Trong đó: Lợi thế thương mại,VI.13,267.021,338.226,,,267021.0,338226.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(29.277),(30.003),,,-29277.0,-30003.0
,,,TỔNG TÀI SẢN,,325.698.848,266.121.915,,,325698848.0,266121915.0
