row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2024Triệu VND,31/12/2023Triệu VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,,2.064.483,2.538.637,,,2064483.0,2538637.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNNVN",VI.14,2.064.483,2.538.637,,,2064483.0,2538637.0
II,B > II,II,Tiền gửi và vay các TCTD khác,VI.15,85.303.651,66.698.038,,,85303651.0,66698038.0
1,B > 1,1,Tiền gửi của các TCTD khác,,55.895.146,47.046.799,,,55895146.0,47046799.0
2,B > 2,2,Vay các TCTD khác,,29.408.505,19.651.239,,,29408505.0,19651239.0
III,B > III,III,Tiền gửi của khách hàng,VI.16,168.320.164,144.840.006,,,168320164.0,144840006.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,VI.17,303.574,107.131,,,303574.0,107131.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,1.020,1.020,,,1020.0,1020.0
VI,B > VI,VI,Phát hành giấy tờ có giá,VI.18,30.450.200,16.846.100,,,30450200.0,16846100.0
VII,B > VII,VII,Các khoản nợ khác,VI.19,4.252.901,4.794.144,,,4252901.0,4794144.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.922.277,3.743.466,,,2922277.0,3743466.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,1.330.624,1.050.678,,,1330624.0,1050678.0
,,,TỔNG NỘ PHẢI TRẢ,,290.695.993,235.825.076,,,290695993.0,235825076.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,VI.20,35.002.855,30.296.839,,,35002855.0,30296839.0
1,B > 1,1,Vốn của TCTD,,28.353.167,25.063.167,,,28353167.0,25063167.0
\( a \),B > \( a \),\( a \),- Vốn điều lệ,,28.350.000,24.957.000,,,28350000.0,24957000.0
\( c \),B > \( c \),\( c \),- Thặng dư vốn cổ phần,,3.167,106.167,,,3167.0,106167.0
2,B > 2,2,Quỹ của TCTD,,2.666.271,1.715.339,,,2666271.0,1715339.0
5,B > 5,5,Lợi nhuận chưa phân phối,,3.983.417,3.518.333,,,3983417.0,3518333.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,35.002.855,30.296.839,,,35002855.0,30296839.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,325.698.848,266.121.915,,,325698848.0,266121915.0
