row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,384.373,456.580,13.446,854.399,384373.0,456580.0,13446.0,854399.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,101.542,-,101.542,,101542.0,,101542.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,384.373,558.122,13.446,955.941,384373.0,558122.0,13446.0,955941.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,188.542,7.354,195.896,,188542.0,7354.0,195896.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,-,40.361,1.651,42.012,,40361.0,1651.0,42012.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,228.903,9.005,237.908,,228903.0,9005.0,237908.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,384.373,268.038,6.092,658.503,384373.0,268038.0,6092.0,658503.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,384.373,329.219,4.441,718.033,384373.0,329219.0,4441.0,718033.0
