row_label_raw,row_label_full,Năm 2023Triệu VND,Hoạt độngngân hàng,Hoạt độngcông tytài chính,Hoạt độngquản lý nợvà khai tháctài sản,Loại trừ cácgiao dịchnội bộ khihợp nhất,Hợp nhất,numeric__Hoạt độngngân hàng,numeric__Hoạt độngcông tytài chính,numeric__Hoạt độngquản lý nợvà khai tháctài sản,numeric__Loại trừ cácgiao dịchnội bộ khihợp nhất,numeric__Hợp nhất
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
Thu nhập lãi và các khoảnthu nhập tương tự,Doanh thu > Thu nhập lãi và các khoảnthu nhập tương tự,Thu nhập lãi và các khoảnthu nhập tương tự,19.377.092,565.559,30.466,(254.627),19.718.490,19377092.0,565559.0,30466.0,-254627.0,19718490.0
Thu nhập từ hoạt độngdịch vụ,Doanh thu > Thu nhập từ hoạt độngdịch vụ,Thu nhập từ hoạt độngdịch vụ,1.485.514,14.143,36.402,(5.068),1.530.991,1485514.0,14143.0,36402.0,-5068.0,1530991.0
Thu nhập từ các hoạt độngkhác,Doanh thu > Thu nhập từ các hoạt độngkhác,Thu nhập từ các hoạt độngkhác,4.155.657,1.900,88,(29.649),4.127.996,4155657.0,1900.0,88.0,-29649.0,4127996.0
,,,25.018.263,581.602,66.956,(289.344),25.377.477,25018263.0,581602.0,66956.0,-289344.0,25377477.0
Chi phí,Chi phí,Chi phí,,,,,,,,,,
Chi phí lãi và các chi phítrương tự,Chi phí > Chi phí lãi và các chi phítrương tự,Chi phí lãi và các chi phítrương tự,12.675.373,226.381,644,(254.627),12.647.771,12675373.0,226381.0,644.0,-254627.0,12647771.0
Chi phí hoạt động dịch vụ,Chi phí > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,205.931,1.752,15.451,-,223.134,205931.0,1752.0,15451.0,,223134.0
Chi phí liên quan trực tiếpđến hoạt động kinh doanh,Chi phí > Chi phí liên quan trực tiếpđến hoạt động kinh doanh,Chi phí liên quan trực tiếpđến hoạt động kinh doanh,3.066.315,119,16.147,-,3.082.581,3066315.0,119.0,16147.0,,3082581.0
Chi phí hoạt động,Chi phí > Chi phí hoạt động,Chi phí hoạt động,3.275.899,259.848,5.263,66.138,3.607.148,3275899.0,259848.0,5263.0,66138.0,3607148.0
,,,19.223.518,488.100,37.505,(188.489),19.560.634,19223518.0,488100.0,37505.0,-188489.0,19560634.0
Lợi nhuận thuần từ hoạtđộng kinh doanh trước chiphí dự phòng rủi ro tín dụng,Chi phí > Lợi nhuận thuần từ hoạtđộng kinh doanh trước chiphí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạtđộng kinh doanh trước chiphí dự phòng rủi ro tín dụng,5.794.745,93.502,29.451,(100.855),5.816.843,5794745.0,93502.0,29451.0,-100855.0,5816843.0
Chi phí dự phòng rủi ro tín dụng,Chi phí > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,1.167.611,32.674,-,-,1.200.285,1167611.0,32674.0,,,1200285.0
Kết quả kinh doanh bộphận,Chi phí > Kết quả kinh doanh bộphận,Kết quả kinh doanh bộphận,4.627.134,60.828,29.451,(100.855),4.616.558,4627134.0,60828.0,29451.0,-100855.0,4616558.0
Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,851.268,-,31,-,851.299,851268.0,,31.0,,851299.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,1.265.655,3.643,-,-,1.269.298,1265655.0,3643.0,,,1269298.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,266.058.107,5.634.596,889.558,(8.580.943),264.001.318,266058107.0,5634596.0,889558.0,-8580943.0,264001318.0
,,,268.175.030,5.638.239,889.589,(8.580.943),266.121.915,268175030.0,5638239.0,889589.0,-8580943.0,266121915.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủvà NHNNVN,Nợ phải trả > Các khoản nợ Chính phủvà NHNNVN,Các khoản nợ Chính phủvà NHNNVN,2.538.637,-,-,-,2.538.637,2538637.0,,,,2538637.0
Tiền gửi và vay các TCTDkhác,Nợ phải trả > Tiền gửi và vay các TCTDkhác,Tiền gửi và vay các TCTDkhác,68.352.556,4.300.000,-,(5.954.518),66.698.038,68352556.0,4300000.0,,-5954518.0,66698038.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,145.225.061,147,-,(385.202),144.840.006,145225061.0,147.0,,-385202.0,144840006.0
Các công cụ tài chínhphái sinh và các khoản nợtài chính khác,Nợ phải trả > Các công cụ tài chínhphái sinh và các khoản nợtài chính khác,Các công cụ tài chínhphái sinh và các khoản nợtài chính khác,107.131,-,-,-,107.131,107131.0,,,,107131.0
"Vốn tài trợ, ủy thác đầu tư","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư","Vốn tài trợ, ủy thác đầu tư",-,1.020,-,-,1.020,,1020.0,,,1020.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,16.846.100,-,-,,16.846.100,16846100.0,,,,16846100.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,4.766.757,38.937,307.900,(319.450),4.794.144,4766757.0,38937.0,307900.0,-319450.0,4794144.0
,,,237.836.242,4.340.104,307.900,(6.659.170),235.825.076,237836242.0,4340104.0,307900.0,-6659170.0,235825076.0
