row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Thiết bịquản lýVND,Phương tiệnvận tảiVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Thiết bịquản lýVND,numeric__Phương tiệnvận tảiVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,96.225.105.929,7.953.507.764.952,164.465.800.320,15.336.105.257,8.229.534.776.458,96225105929.0,7953507764952.0,164465800320.0,15336105257.0,8229534776458.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.149.716.968,971.156.855.657,3.454.018.518,1.395.190.000,977.155.781.143,1149716968.0,971156855657.0,3454018518.0,1395190000.0,977155781143.0
Chuyển sang từ xây dựng cơ bản dở dang(Thuyết minh 11),Nguyên giá > Chuyển sang từ xây dựng cơ bản dở dang(Thuyết minh 11),Chuyển sang từ xây dựng cơ bản dở dang(Thuyết minh 11),-,165.402.577.365,-,-,165.402.577.365,,165402577365.0,,,165402577365.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,39.163.887.580,(39.163.887.580),-,-,,39163887580.0,-39163887580.0,,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(3.469.507.453),(3.469.507.453),,,,-3469507453.0,-3469507453.0
"Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)","Nguyên giá > Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)","Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)",(23.256.990),(359.645.815.348),(41.252.037.030),-,(400.921.109.368),-23256990.0,-359645815348.0,-41252037030.0,,-400921109368.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,97.351.565.907,8.769.585.270.206,87.503.894.228,13.261.787.804,8.967.702.518.145,97351565907.0,8769585270206.0,87503894228.0,13261787804.0,8967702518145.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,(19.785.233.709),(3.898.991.203.266),(162.957.335.351),(9.043.086.918),(4.090.776.859.244),-19785233709.0,-3898991203266.0,-162957335351.0,-9043086918.0,-4090776859244.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(4.276.747.882),(1.001.776.811.220),(909.588.322),(1.483.366.156),(1.008.446.513.580),-4276747882.0,-1001776811220.0,-909588322.0,-1483366156.0,-1008446513580.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,(39.163.887.580),39.163.887.580,-,-,,-39163887580.0,39163887580.0,,
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,3.060.645.733,3.060.645.733,,,,3060645733.0,3060645733.0
"Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)","Giá trị khấu hao lũy kế > Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)","Thiết bị, linh kiện tháo dỡ từ TSCĐ (*)",-,223.632.715.010,38.100.706.881,-,261.733.421.891,,223632715010.0,38100706881.0,,261733421891.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,(24.061.981.591),(4.716.299.187.056),(86.602.329.212),(7.465.807.341),(4.834.429.305.200),-24061981591.0,-4716299187056.0,-86602329212.0,-7465807341.0,-4834429305200.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,76.439.872.220,4.054.516.561.686,1.508.464.969,6.293.018.339,4.138.757.917.214,76439872220.0,4054516561686.0,1508464969.0,6293018339.0,4138757917214.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,73.289.584.316,4.053.286.083.150,901.565.016,5.795.980.463,4.133.273.212.945,73289584316.0,4053286083150.0,901565016.0,5795980463.0,4133273212945.0
