row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Giấy phép bản quyền và quyền khai thác VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Giấy phép bản quyền và quyền khai thác VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,88.529.461.689,734.392.333.424,95.465.099.699,918.386.894.812,88529461689.0,734392333424.0,95465099699.0,918386894812.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,43.797.791.000,17.591.496.571,30.902.587.999,92.291.875.570,43797791000.0,17591496571.0,30902587999.0,92291875570.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,132.327.252.689,751.983.829.995,126.367.687.698,1.010.678.770.382,132327252689.0,751983829995.0,126367687698.0,1010678770382.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,-,(270.960.317.254),(58.051.479.885),(329.011.797.139),,-270960317254.0,-58051479885.0,-329011797139.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(52.572.153.180),(17.151.198.980),(69.723.352.160),,-52572153180.0,-17151198980.0,-69723352160.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,-,(323.532.470.434),(75.202.678.865),(398.735.149.299),,-323532470434.0,-75202678865.0,-398735149299.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,88.529.461.689,463.432.016.170,37.413.619.814,589.375.097.673,88529461689.0,463432016170.0,37413619814.0,589375097673.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,132.327.252.689,428.451.359.561,51.165.008.833,611.943.621.083,132327252689.0,428451359561.0,51165008833.0,611943621083.0
